# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.993466394247276785e-01,5.215511927652251023e-01,4.949048047223834068e-01,6.198128439876258305e-02,2.309999999999998721e-01,4.399999999999959499e-02,5.217854562734255408e-01,4.927003655267730431e-01,5.952178187793535219e-02,2.309999999999998721e-01,4.399999999999959499e-02
9.992073812517893172e-01,5.460517107231066536e-01,4.714757153784750465e-01,3.579714417798256221e-02,2.279999999999997584e-01,4.100000000000036948e-02,5.464403720364380268e-01,4.698378547629742941e-01,3.712696899054948596e-02,2.279999999999997584e-01,4.100000000000036948e-02
9.993666345379732530e-01,5.413477594124784797e-01,4.544340529363413150e-01,3.425933867086405210e-02,2.099999999999999645e-01,3.699999999999992184e-02,5.425255069606550462e-01,4.517978606191846991e-01,3.207811948189597667e-02,2.099999999999999645e-01,3.599999999999958789e-02
9.994256865691930614e-01,5.512412508272812595e-01,4.958553518676644956e-01,6.956861110741850707e-02,2.410000000000005471e-01,5.000000000000071054e-02,5.512122789727729177e-01,4.903790469994518952e-01,6.540453066110070435e-02,2.410000000000005471e-01,4.900000000000037659e-02
9.993519502720854542e-01,5.366854290000365735e-01,4.954694239697355340e-01,3.504722180193105274e-02,2.270000000000003126e-01,4.100000000000036948e-02,5.390926725416387288e-01,4.928208063232379921e-01,3.660147383629551443e-02,2.280000000000006466e-01,4.200000000000070344e-02
9.997599716331342368e-01,5.591565713710674457e-01,5.803706782465994918e-01,1.194770951550335331e-01,2.459999999999995524e-01,5.599999999999916156e-02,5.594705110582640639e-01,5.761251447143124205e-01,1.208529827375839499e-01,2.459999999999995524e-01,5.599999999999916156e-02
9.997374265304949104e-01,6.159349801132901758e-01,4.685825354745574156e-01,6.144668115130681729e-02,2.139999999999995239e-01,4.399999999999959499e-02,6.161757267123127990e-01,4.652563978964252001e-01,6.064022249593260111e-02,2.139999999999995239e-01,4.399999999999959499e-02
9.996948067640792912e-01,5.536504205762526887e-01,6.295517772904053455e-01,7.851625896681958816e-02,2.149999999999998579e-01,4.299999999999926104e-02,5.543781137344080401e-01,6.239439513000001325e-01,7.574726657733099611e-02,2.149999999999998579e-01,4.299999999999926104e-02
9.997598644404732671e-01,6.637972568398513573e-01,3.653114246857988578e-01,7.383364594896608957e-02,2.439999999999997726e-01,5.499999999999971578e-02,6.639891476332485665e-01,3.620917293300019990e-01,7.150500707315927962e-02,2.439999999999997726e-01,5.499999999999971578e-02
9.996659664481359897e-01,5.912019348422866694e-01,5.078822119548311864e-01,6.352478353260068711e-02,2.139999999999995239e-01,4.300000000000014921e-02,5.914481583027284550e-01,5.036182640229454055e-01,5.974224521577126135e-02,2.130000000000000782e-01,4.199999999999981526e-02
9.999030944133028287e-01,6.475289203064245047e-01,4.083798063742139495e-01,9.365408440813542679e-02,2.159999999999993037e-01,5.099999999999926814e-02,6.479324126160520558e-01,4.035955809733701161e-01,8.984519066876701932e-02,2.169999999999996376e-01,4.999999999999982236e-02
9.999431477727868112e-01,6.925040879242208014e-01,4.898306226890069004e-01,8.512440599415486975e-02,2.439999999999997726e-01,4.499999999999992895e-02,6.921773815837167776e-01,4.827973926048148567e-01,8.074586811137252074e-02,2.429999999999994387e-01,4.399999999999959499e-02
9.999547520601506090e-01,7.217370752243943421e-01,3.675320771120240138e-01,8.447291250154062570e-02,2.709999999999999076e-01,4.800000000000004263e-02,7.198206225210538323e-01,3.623744849750062391e-01,7.772497804754932571e-02,2.709999999999999076e-01,4.699999999999970868e-02
9.999026860897525237e-01,6.992521109642005905e-01,3.272570215320834697e-01,7.678344684301324774e-02,2.380000000000004334e-01,5.500000000000060396e-02,6.986022289990860834e-01,3.238011627591184660e-01,7.397867690357949610e-02,2.370000000000000995e-01,5.200000000000049027e-02
9.999351985064540704e-01,6.895861406206380551e-01,4.046255485298793086e-01,8.270101680014201040e-02,2.320000000000002061e-01,4.699999999999970868e-02,6.891399845923528167e-01,3.997374840818440633e-01,7.780236774889241758e-02,2.320000000000002061e-01,4.800000000000004263e-02
9.999497285456175888e-01,7.035656939978067737e-01,4.422710886002699238e-01,8.099413815290473773e-02,2.259999999999999787e-01,4.899999999999948841e-02,7.036529761005256844e-01,4.394331826899571802e-01,7.978679585133019447e-02,2.259999999999999787e-01,4.800000000000004263e-02
9.999678706700242392e-01,7.053240596710920185e-01,5.050006698569093899e-01,7.081692289701782550e-02,2.210000000000000853e-01,3.699999999999992184e-02,7.044141677620200381e-01,5.002661316618356446e-01,6.856605562018799893e-02,2.210000000000000853e-01,3.699999999999992184e-02
9.999521387461202115e-01,6.765851887516040053e-01,5.908777188686702431e-01,8.021801086148044879e-02,2.450000000000001066e-01,4.399999999999959499e-02,6.764062804497503745e-01,5.850807645067293006e-01,7.927543378420952302e-02,2.450000000000001066e-01,4.300000000000014921e-02
9.999667585502016731e-01,6.991894884049564274e-01,5.126123860173567026e-01,7.653569366693969978e-02,2.750000000000003553e-01,4.100000000000036948e-02,6.974787496367177431e-01,5.086940148544375484e-01,7.310215938680668379e-02,2.750000000000003553e-01,4.100000000000036948e-02
9.999511061114709776e-01,6.784365813126008726e-01,5.994286108624035103e-01,9.847041936107486793e-02,2.309999999999998721e-01,4.299999999999926104e-02,6.777082540468525318e-01,5.963044840299862592e-01,9.786177479845974136e-02,2.309999999999998721e-01,4.099999999999948130e-02
9.999787851113397519e-01,6.937556598922529627e-01,5.635962651294663672e-01,6.500183085239975844e-02,2.290000000000000924e-01,3.200000000000002842e-02,6.931430821485123905e-01,5.616355355958156936e-01,6.385322538896237576e-02,2.290000000000000924e-01,3.100000000000058265e-02
9.999835333567723694e-01,7.011737303318651415e-01,5.617699452174411689e-01,6.679546969331659478e-02,2.380000000000004334e-01,3.200000000000002842e-02,7.009651709513201601e-01,5.581681962887663495e-01,6.464737988608834640e-02,2.380000000000004334e-01,3.200000000000002842e-02
9.999761664934321281e-01,6.809003188182084498e-01,6.148280872284237475e-01,6.166619610730295770e-02,2.629999999999999005e-01,3.399999999999980815e-02,6.805091715287111542e-01,6.112549019761134295e-01,6.079393216005599815e-02,2.629999999999999005e-01,3.399999999999980815e-02
9.999845776749126669e-01,7.047580049983642736e-01,5.014141700201049101e-01,7.608610470870796894e-02,2.740000000000000213e-01,3.399999999999980815e-02,7.039367386918851111e-01,4.985354107821880487e-01,7.355596435698734392e-02,2.740000000000000213e-01,3.399999999999980815e-02
9.999804329606301057e-01,6.944435391684112835e-01,5.542282380560348276e-01,6.692393123935920507e-02,2.339999999999999858e-01,3.200000000000002842e-02,6.941903267634804697e-01,5.504181427787314673e-01,6.374852838102933184e-02,2.339999999999999858e-01,3.200000000000002842e-02
9.999862680316968788e-01,7.176391481865573851e-01,4.856046246160853341e-01,7.185892639017836536e-02,2.750000000000003553e-01,3.500000000000014211e-02,7.169109873796635224e-01,4.844236200967765860e-01,6.967827412720430102e-02,2.750000000000003553e-01,3.500000000000014211e-02
9.999826931501110128e-01,7.135315351415271179e-01,5.116362514392377436e-01,7.526694461805295833e-02,2.530000000000001137e-01,3.300000000000036238e-02,7.132724368717862085e-01,5.074703469692806168e-01,7.419316103971519694e-02,2.530000000000001137e-01,3.500000000000014211e-02
9.999858654075348685e-01,7.315708529910007751e-01,4.660458133593730068e-01,6.237642379323943276e-02,2.540000000000004476e-01,2.900000000000080291e-02,7.315018378321374026e-01,4.638713253049405183e-01,6.213195489633385055e-02,2.530000000000001137e-01,2.800000000000046896e-02
9.999846736251872814e-01,7.050240019922018320e-01,5.342944645312681651e-01,6.245473834208032510e-02,2.320000000000002061e-01,2.800000000000046896e-02,7.035873715648440774e-01,5.304941980283475189e-01,5.929198349363491022e-02,2.320000000000002061e-01,2.700000000000013500e-02
9.999830424695316244e-01,7.208162112759463058e-01,4.589849940394892247e-01,7.449675884167829276e-02,2.439999999999997726e-01,3.399999999999980815e-02,7.205975275606892883e-01,4.552341462826628438e-01,7.366357472877373136e-02,2.450000000000001066e-01,3.299999999999947420e-02
9.995697455746208604e-01,5.702347134255303374e-01,5.157114739255208580e-01,9.225280858810441798e-02,2.669999999999994600e-01,5.499999999999971578e-02,5.707777673911370586e-01,5.132480438234878761e-01,9.349848147610710647e-02,2.679999999999997939e-01,5.499999999999971578e-02
9.994400273537470403e-01,5.021905209506938306e-01,5.619921780767365149e-01,1.141464689621515816e-01,2.560000000000002274e-01,5.199999999999960210e-02,5.023747330225843966e-01,5.571260147057830459e-01,1.085915887906044736e-01,2.560000000000002274e-01,5.100000000000015632e-02
9.994426047323936579e-01,5.062561380681532830e-01,6.039859285427002789e-01,1.367339065610394810e-01,2.580000000000000071e-01,5.299999999999993605e-02,5.057233432712934240e-01,6.005742455440165051e-01,1.318963767398913800e-01,2.580000000000000071e-01,5.199999999999960210e-02
9.995143294987637317e-01,5.214997898663089604e-01,5.991378030476341987e-01,4.978314616017427002e-02,2.240000000000001990e-01,4.100000000000036948e-02,5.220947436963325750e-01,5.971589126043027607e-01,4.720306518097901194e-02,2.229999999999998650e-01,4.000000000000003553e-02
9.996555200915638872e-01,5.474092673475540183e-01,5.366812808805576651e-01,1.508609061556808462e-01,2.709999999999999076e-01,6.199999999999938893e-02,5.472110915140651066e-01,5.313870208473444601e-01,1.484407243803895771e-01,2.719999999999993534e-01,6.299999999999972289e-02
9.998990723288063709e-01,6.629077202021287363e-01,3.988389019170480720e-01,1.073983945193743433e-01,2.530000000000001137e-01,5.600000000000004974e-02,6.616281065679310291e-01,3.953816343394707111e-01,1.034719423437661934e-01,2.540000000000004476e-01,5.600000000000004974e-02
9.998212774494520394e-01,6.353534729440779572e-01,4.556146685829873810e-01,8.506392505643531332e-02,2.460000000000004405e-01,5.700000000000038369e-02,6.357737096423805578e-01,4.494008296555262461e-01,8.254295693763645525e-02,2.460000000000004405e-01,5.700000000000038369e-02
9.997727665585820489e-01,6.418426055639607775e-01,4.357177645590495918e-01,6.836613453746814839e-02,2.320000000000002061e-01,5.200000000000049027e-02,6.418949933281878906e-01,4.339806735982757457e-01,6.876988427127730952e-02,2.320000000000002061e-01,5.200000000000049027e-02
9.998956973681220051e-01,6.373014520104652858e-01,4.408924560457525010e-01,1.116133814545939712e-01,2.519999999999997797e-01,5.699999999999949551e-02,6.377832864199473040e-01,4.348578791765619345e-01,1.068310241801961047e-01,2.519999999999997797e-01,5.799999999999982947e-02
9.997040743628338166e-01,5.669138124848766003e-01,5.925673438409243543e-01,1.002797575464373508e-01,2.240000000000001990e-01,4.700000000000059686e-02,5.670443139782922470e-01,5.882890971904820576e-01,1.023981406235395381e-01,2.240000000000001990e-01,4.700000000000059686e-02
9.999620992104183426e-01,7.027777716081300419e-01,3.925253196725634885e-01,7.635678539364408601e-02,2.439999999999997726e-01,4.100000000000036948e-02,7.019822475996121414e-01,3.890858829296449106e-01,7.310078188142106470e-02,2.439999999999997726e-01,4.100000000000036948e-02
9.999125508947294128e-01,6.738478888420976753e-01,4.362106937278368846e-01,9.809575593112167258e-02,2.590000000000003411e-01,5.300000000000082423e-02,6.724969647935200578e-01,4.301436241088267276e-01,9.432113548859505370e-02,2.600000000000006750e-01,5.200000000000049027e-02
9.999636781389273921e-01,6.910725869866188864e-01,5.191368261773675608e-01,8.328620211126064321e-02,2.560000000000002274e-01,4.200000000000070344e-02,6.905321881915433835e-01,5.139337682261967410e-01,7.948631394417732254e-02,2.560000000000002274e-01,4.200000000000070344e-02
9.999648083713958968e-01,7.050826079511521849e-01,4.400739466662454413e-01,7.507914096852566499e-02,2.320000000000002061e-01,4.000000000000003553e-02,7.049249523243341642e-01,4.358964388863232342e-01,7.097350221793051472e-02,2.320000000000002061e-01,4.100000000000036948e-02
9.999442490321047705e-01,6.919034224484582607e-01,4.987684254345308710e-01,7.665567081359532520e-02,2.720000000000002416e-01,4.400000000000048317e-02,6.906978434973621850e-01,4.931315214714185879e-01,7.439681248017104842e-02,2.730000000000005755e-01,4.400000000000048317e-02
9.999611932094670808e-01,6.901866221167172188e-01,5.727712019474907601e-01,7.164253952724798646e-02,2.389999999999998792e-01,4.199999999999981526e-02,6.900738586034923516e-01,5.683163650481070084e-01,7.170042547787731924e-02,2.400000000000002132e-01,4.199999999999981526e-02
9.999584533718631763e-01,6.870380688878285902e-01,5.793044638295445914e-01,7.649227677752011567e-02,2.290000000000000924e-01,3.800000000000025580e-02,6.876387613461723003e-01,5.754889352109989753e-01,7.625170568636667479e-02,2.290000000000000924e-01,3.800000000000025580e-02
9.999687272725436005e-01,6.964080058113177873e-01,5.304937273694083633e-01,7.620814413937108955e-02,2.479999999999993321e-01,3.799999999999936762e-02,6.952322660334270266e-01,5.260509839026535905e-01,7.460989027875258861e-02,2.489999999999996660e-01,4.000000000000003553e-02
9.999626641050745057e-01,6.734466280988449238e-01,6.065939577966085183e-01,7.339948700415233063e-02,2.430000000000003268e-01,3.699999999999992184e-02,6.736494753148499770e-01,6.024813979435560407e-01,7.302978555836121821e-02,2.430000000000003268e-01,3.599999999999958789e-02
9.999725171517374056e-01,6.981255914260579010e-01,4.598481616246252734e-01,8.069699505202410084e-02,2.389999999999998792e-01,3.699999999999992184e-02,6.970407343370332853e-01,4.557793616606897191e-01,7.908563957731859495e-02,2.389999999999998792e-01,3.799999999999936762e-02
9.999798556245940162e-01,7.008292602839664154e-01,5.349949741313830831e-01,6.396262876977774903e-02,2.690000000000001279e-01,3.000000000000024869e-02,6.996492979471635731e-01,5.316682198401522230e-01,6.129219313680790010e-02,2.690000000000001279e-01,3.000000000000024869e-02
9.999759257518101574e-01,6.996428266114936845e-01,5.129243453171637990e-01,7.401135389781839102e-02,2.800000000000002487e-01,3.399999999999980815e-02,6.986442426926968707e-01,5.105475774392201904e-01,7.176029707476375141e-02,2.809999999999996945e-01,3.500000000000014211e-02
9.999739408978784994e-01,6.828000752097671544e-01,6.007214850980260312e-01,5.874327721761320176e-02,2.680000000000006821e-01,3.300000000000036238e-02,6.825915311843112621e-01,5.975613876377831035e-01,5.834459095231910031e-02,2.680000000000006821e-01,3.200000000000002842e-02
