# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.993466394247279005e-01,5.215511927652249913e-01,4.949048047223831293e-01,1.512379985895718204e-01,2.309999999999998721e-01,7.299999999999950973e-02,5.217854562734255408e-01,4.927003655267730431e-01,1.510903417813442284e-01,2.309999999999998721e-01,7.299999999999950973e-02
9.992073812517893172e-01,5.460517107231066536e-01,4.714757153784753241e-01,1.262930239605181970e-01,2.279999999999997584e-01,7.599999999999962341e-02,5.464403720364380268e-01,4.698378547629742941e-01,1.302353886863387988e-01,2.279999999999997584e-01,7.599999999999962341e-02
9.993666345379729199e-01,5.413477594124784797e-01,4.544340529363413150e-01,1.355470805610599905e-01,2.099999999999999645e-01,6.799999999999961631e-02,5.425255069606550462e-01,4.517978606191845881e-01,1.368378553963437161e-01,2.099999999999999645e-01,6.699999999999928235e-02
9.994256865691930614e-01,5.512412508272811484e-01,4.958553518676644956e-01,1.358833197233583756e-01,2.410000000000005471e-01,8.000000000000007105e-02,5.512122789727729177e-01,4.903790469994518952e-01,1.364341233480241000e-01,2.410000000000005471e-01,7.900000000000062528e-02
9.993519502720845660e-01,5.366854290000365735e-01,4.954694239697355340e-01,1.215198145603308133e-01,2.270000000000003126e-01,7.500000000000017764e-02,5.390926725416387288e-01,4.928208063232380476e-01,1.244985979302387080e-01,2.280000000000006466e-01,7.500000000000017764e-02
9.994419439653319248e-01,5.819378922105817864e-01,4.449785383436202779e-01,8.722372567470355886e-02,2.039999999999997371e-01,6.299999999999972289e-02,5.825164600969646722e-01,4.419707778170781642e-01,8.812996402415741726e-02,2.029999999999994031e-01,6.299999999999972289e-02
9.995540865632942529e-01,5.273853288423629992e-01,6.402740549490043565e-01,1.542394806582885469e-01,2.399999999999993250e-01,7.699999999999995737e-02,5.283591168867175503e-01,6.356418413277445945e-01,1.572397426210819238e-01,2.389999999999998792e-01,7.599999999999962341e-02
9.996195465400741220e-01,5.481785277973041381e-01,5.662390634804216338e-01,1.348735611032803317e-01,2.380000000000004334e-01,7.200000000000006395e-02,5.496548261199549756e-01,5.591705449698777253e-01,1.330704600970798179e-01,2.389999999999998792e-01,7.300000000000039790e-02
9.991359279403267957e-01,5.436270419982826008e-01,4.012268529405453865e-01,1.169949886797770899e-01,2.140000000000004121e-01,7.300000000000039790e-02,5.449565468459152129e-01,3.969451118713400728e-01,1.203057630361161617e-01,2.140000000000004121e-01,7.300000000000039790e-02
9.997446325326421190e-01,5.921604386069775350e-01,4.741847503216938819e-01,1.451051096022598907e-01,2.730000000000005755e-01,7.600000000000051159e-02,5.918876703973374731e-01,4.705325570119125445e-01,1.428919490899192568e-01,2.730000000000005755e-01,7.500000000000017764e-02
9.996839892746830492e-01,6.032575669615130032e-01,4.519316181954616263e-01,1.247634220622111101e-01,2.690000000000001279e-01,7.699999999999995737e-02,6.032826789078294949e-01,4.472481598844136319e-01,1.215588131262075600e-01,2.690000000000001279e-01,7.899999999999973710e-02
9.996077757617076731e-01,5.428060065912653220e-01,5.942706854799868488e-01,1.545141803262575220e-01,2.469999999999998863e-01,7.299999999999950973e-02,5.434960684166740830e-01,5.871111282029412015e-01,1.535626162305397113e-01,2.459999999999995524e-01,7.200000000000006395e-02
9.993782843041398856e-01,5.457830002793149227e-01,5.197141678204781901e-01,1.590278682522493214e-01,2.639999999999993463e-01,8.099999999999951683e-02,5.473742909126797507e-01,5.115345849440333659e-01,1.541734061300888692e-01,2.629999999999999005e-01,7.899999999999973710e-02
9.995849807335120962e-01,5.432687041838134556e-01,5.960960603316449724e-01,1.496988658227939029e-01,2.329999999999996518e-01,7.299999999999950973e-02,5.443035517627966557e-01,5.899638544916583349e-01,1.493306770138649875e-01,2.320000000000002061e-01,7.099999999999972999e-02
9.995274965035899628e-01,5.813189701534037246e-01,5.162453242554134736e-01,1.011222285276931476e-01,2.449999999999992184e-01,6.199999999999938893e-02,5.804779208072845531e-01,5.168896536267278963e-01,1.036270192868257445e-01,2.439999999999997726e-01,6.299999999999972289e-02
9.993529559228628845e-01,5.738464863222046963e-01,4.227620468000207743e-01,1.250932728355195478e-01,2.299999999999995381e-01,7.799999999999940314e-02,5.742551420231146730e-01,4.183283619908045869e-01,1.272052009907954639e-01,2.299999999999995381e-01,7.699999999999995737e-02
9.994070928172456014e-01,5.334977115975930717e-01,5.140001616791392003e-01,1.460980530692422563e-01,2.759999999999998010e-01,9.299999999999997158e-02,5.344915816704446376e-01,5.103323527183125652e-01,1.485544409821778489e-01,2.759999999999998010e-01,9.099999999999930367e-02
9.994613821975213419e-01,5.494640573173654730e-01,5.179177938918962942e-01,1.494740882352768307e-01,2.470000000000007745e-01,7.100000000000061817e-02,5.506510019962292946e-01,5.132165816619732590e-01,1.483086331089575327e-01,2.470000000000007745e-01,7.100000000000061817e-02
9.995809806526538832e-01,5.441991726067321178e-01,6.103920017413766441e-01,1.574912102912763012e-01,2.380000000000004334e-01,7.099999999999972999e-02,5.445563931057214591e-01,6.037870704984479309e-01,1.577830204538763770e-01,2.370000000000000995e-01,6.899999999999995026e-02
9.997416195719117660e-01,6.598473992264698440e-01,3.303865132873765598e-01,1.274725964531200351e-01,2.830000000000003624e-01,7.500000000000017764e-02,6.596331711748433246e-01,3.252791170962690548e-01,1.231401748461956741e-01,2.830000000000003624e-01,7.300000000000039790e-02
9.996075410157458929e-01,6.288335179501207683e-01,3.677527445826564989e-01,1.052903512796666829e-01,2.349999999999994316e-01,7.099999999999972999e-02,6.293542897650484802e-01,3.645193428978497630e-01,1.033646493418551721e-01,2.349999999999994316e-01,6.899999999999995026e-02
9.997921987594416970e-01,6.701961348053473433e-01,3.522734579807215716e-01,9.653922337666699660e-02,2.590000000000003411e-01,7.000000000000028422e-02,6.706721078053331508e-01,3.481893901251622014e-01,9.410082775760085505e-02,2.599999999999997868e-01,6.799999999999961631e-02
