# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.993466394247279005e-01,5.108594306740568136e-01,4.950243048892741804e-01,1.408370636496264761e-01,2.309999999999998721e-01,7.899999999999973710e-02,5.122234023371575740e-01,4.940647322389763452e-01,1.452569962539939918e-01,2.309999999999998721e-01,7.699999999999995737e-02
9.992073812517893172e-01,5.402142565693874854e-01,4.696175654603989558e-01,1.199863467986421739e-01,2.279999999999997584e-01,7.800000000000029132e-02,5.412959820147877910e-01,4.685542925139883907e-01,1.260873974138788933e-01,2.279999999999997584e-01,7.699999999999995737e-02
9.993666345379729199e-01,5.378232733751864281e-01,4.526857260801689931e-01,1.301631350197236803e-01,2.099999999999999645e-01,6.899999999999995026e-02,5.402915219590767038e-01,4.508174742392030421e-01,1.346685269400751950e-01,2.099999999999999645e-01,6.899999999999995026e-02
9.994256865691930614e-01,5.481541343844003045e-01,4.941420713412514876e-01,1.306408599631732892e-01,2.410000000000005471e-01,8.300000000000018474e-02,5.502133768027794858e-01,4.894428965058720826e-01,1.345611475641293464e-01,2.410000000000005471e-01,8.200000000000073896e-02
9.993519502720845660e-01,5.346122347877869663e-01,4.949208991946351666e-01,1.185081572069404537e-01,2.270000000000003126e-01,7.700000000000084555e-02,5.362695135499155885e-01,4.926463543963799374e-01,1.229578258240325017e-01,2.280000000000006466e-01,7.700000000000084555e-02
9.994419439653319248e-01,5.805047565637929674e-01,4.359939716929705500e-01,7.589628204391900279e-02,2.039999999999997371e-01,6.899999999999995026e-02,5.813222397836839139e-01,4.332199912870149383e-01,7.898531499130218014e-02,2.029999999999994031e-01,6.799999999999961631e-02
9.995540865632942529e-01,5.307335138462341284e-01,6.384197971392616688e-01,1.578440256753563808e-01,2.399999999999993250e-01,7.699999999999995737e-02,5.322164187301239302e-01,6.343249250534488404e-01,1.633840027402712891e-01,2.389999999999998792e-01,7.299999999999950973e-02
9.996195465400741220e-01,5.459109375928526964e-01,5.665564373983102975e-01,1.309210388990839358e-01,2.380000000000004334e-01,7.500000000000017764e-02,5.492952471749787957e-01,5.597308992501852654e-01,1.335232149792319745e-01,2.389999999999998792e-01,7.300000000000039790e-02
9.991359279403267957e-01,5.354551758797855276e-01,3.972397039516674666e-01,1.083784791866286984e-01,2.140000000000004121e-01,7.300000000000039790e-02,5.373997152743430483e-01,3.941363770914808606e-01,1.146833982166602928e-01,2.140000000000004121e-01,7.300000000000039790e-02
9.997446325326421190e-01,5.915580478413553500e-01,4.739995422386686363e-01,1.423623617212267656e-01,2.730000000000005755e-01,7.600000000000051159e-02,5.927017923176857161e-01,4.707154754132218399e-01,1.460643479537582778e-01,2.730000000000005755e-01,7.500000000000017764e-02
9.996839892746830492e-01,5.997639361659397039e-01,4.502445170318175593e-01,1.167195831937754419e-01,2.690000000000001279e-01,8.199999999999985079e-02,6.018728679392764125e-01,4.463032968469832773e-01,1.188244710007988064e-01,2.690000000000001279e-01,8.000000000000007105e-02
9.996077757617076731e-01,5.409497798476267105e-01,5.949795522127748759e-01,1.501471840636743882e-01,2.469999999999998863e-01,7.599999999999962341e-02,5.433857650546383145e-01,5.879362899438440593e-01,1.538049736135755352e-01,2.459999999999995524e-01,7.200000000000006395e-02
