# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.976940242336921338e-01,2.911794523020796444e-01,4.537831632827254991e-01,2.094285122731750354e-02,2.219999999999995310e-01,5.199999999999960210e-02,2.850738098820775890e-01,5.188084997391504416e-01,3.231293967291371666e-02,2.219999999999995310e-01,5.299999999999993605e-02
9.977560434573724546e-01,3.723838940730694325e-01,4.234722892044687770e-01,3.293230102431769779e-02,2.210000000000000853e-01,5.299999999999993605e-02,3.684461435519054695e-01,4.688915850694599929e-01,4.966947090495433398e-02,2.210000000000000853e-01,5.299999999999993605e-02
9.986992889236810944e-01,3.734921373044706727e-01,4.127149899983772463e-01,3.598459571175337962e-02,2.029999999999994031e-01,4.800000000000004263e-02,3.687529438552776817e-01,4.519916466122105847e-01,4.838640347047603457e-02,2.029999999999994031e-01,4.800000000000004263e-02
9.980279197434522853e-01,3.545266123202253650e-01,3.620963975283703062e-01,5.033641901019739184e-02,2.339999999999999858e-01,5.299999999999993605e-02,3.551752452716149255e-01,4.019956500745880401e-01,6.829997495324824364e-02,2.339999999999999858e-01,5.200000000000049027e-02
9.985056912564338472e-01,3.867796794083037115e-01,4.083929205443623256e-01,3.086997194239421774e-02,2.200000000000006395e-01,5.200000000000049027e-02,3.832815245052553776e-01,4.457658592896099892e-01,4.418673497938912370e-02,2.190000000000003055e-01,5.200000000000049027e-02
9.993999254142874600e-01,5.072452421899472652e-01,8.761903743074737905e-02,4.872169895310074494e-02,2.399999999999993250e-01,4.499999999999992895e-02,5.083669229730536365e-01,9.975999497173625163e-02,6.182719634407433246e-02,2.399999999999993250e-01,4.399999999999959499e-02
9.994457900043882681e-01,5.092697809935572417e-01,1.476138525668460877e-01,6.049661542738091202e-02,2.099999999999999645e-01,4.099999999999948130e-02,5.111844333378586791e-01,1.627878799439365642e-01,7.317214822391128470e-02,2.089999999999996305e-01,4.099999999999948130e-02
9.994093300468879226e-01,4.734430175322300594e-01,2.116844164837365094e-01,4.731774579004873610e-02,2.089999999999996305e-01,4.499999999999992895e-02,4.736219784792029541e-01,2.302060395768767975e-01,5.856278039766935756e-02,2.079999999999992966e-01,4.399999999999959499e-02
9.995042712818482666e-01,5.350696279388890142e-01,7.705123156586377031e-02,6.847911619069822764e-02,2.400000000000002132e-01,4.600000000000026290e-02,5.395844896463568574e-01,8.662317406840241985e-02,8.263592713262903067e-02,2.400000000000002132e-01,4.499999999999992895e-02
9.992402953841295066e-01,4.792363135315840794e-01,2.047804869034457742e-01,5.253308987755950232e-02,2.089999999999996305e-01,4.399999999999959499e-02,4.793743972290177013e-01,2.244182326336831013e-01,6.582080712074921125e-02,2.089999999999996305e-01,4.399999999999959499e-02
