# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.976940242336924669e-01,2.911794523020795888e-01,4.537831632827256101e-01,2.094285122731750007e-02,2.219999999999995310e-01,5.199999999999960210e-02,2.850738098820775335e-01,5.188084997391506636e-01,3.231293967291373054e-02,2.219999999999995310e-01,5.299999999999993605e-02
9.977560434573725656e-01,3.723838940730694325e-01,4.234722892044687770e-01,3.293230102431769779e-02,2.210000000000000853e-01,5.299999999999993605e-02,3.684461435519054140e-01,4.688915850694599929e-01,4.966947090495434092e-02,2.210000000000000853e-01,5.299999999999993605e-02
9.986992889236810944e-01,3.734921373044707282e-01,4.127149899983774683e-01,3.606947171511581257e-02,2.029999999999994031e-01,4.899999999999948841e-02,3.687529438552776817e-01,4.519916466122105847e-01,4.872271045942239143e-02,2.029999999999994031e-01,4.999999999999982236e-02
9.980279197434527294e-01,3.545266123202253095e-01,3.620963975283703062e-01,5.033641901019739184e-02,2.339999999999999858e-01,5.299999999999993605e-02,3.551752452716149255e-01,4.019956500745880401e-01,6.829997495324825751e-02,2.339999999999999858e-01,5.200000000000049027e-02
9.985056912564338472e-01,3.867796794083037115e-01,4.083929205443623256e-01,3.086997194239420733e-02,2.200000000000006395e-01,5.200000000000049027e-02,3.832815245052553776e-01,4.457658592896099892e-01,4.418673497938912370e-02,2.190000000000003055e-01,5.200000000000049027e-02
9.989714088868416608e-01,3.986263776373471512e-01,3.985222084085769390e-01,4.687547161019526426e-02,1.979999999999995097e-01,4.699999999999970868e-02,3.971650874625470840e-01,4.346848301097822054e-01,6.052239062528590174e-02,1.979999999999995097e-01,4.699999999999970868e-02
9.986165459543810963e-01,4.228114524426375698e-01,3.013961448093578355e-01,4.709035558402566851e-02,2.309999999999998721e-01,5.199999999999960210e-02,4.246161568471671366e-01,3.260521123882394456e-01,6.226128450209223592e-02,2.319999999999993179e-01,5.399999999999938183e-02
9.989373690130072259e-01,4.151765423734231075e-01,2.337311161828385109e-01,5.110482607220304119e-02,2.300000000000004263e-01,4.900000000000037659e-02,4.143210448097448539e-01,2.615932038312664965e-01,6.487137521991188926e-02,2.300000000000004263e-01,4.800000000000004263e-02
9.981068456687400836e-01,3.402806666553213066e-01,4.893107286434529302e-01,2.123334689713049853e-02,2.080000000000001847e-01,5.400000000000027001e-02,3.330790583746836564e-01,5.377188521651460329e-01,3.399315601839886236e-02,2.070000000000007390e-01,5.300000000000082423e-02
9.994740557327128627e-01,5.006789948302567961e-01,6.503564483451521050e-02,5.187804087571838002e-02,2.660000000000000142e-01,5.200000000000049027e-02,5.039347282280843832e-01,7.580472245748515192e-02,6.495899597845346263e-02,2.660000000000000142e-01,5.100000000000015632e-02
9.993573158656827715e-01,4.802177048072796550e-01,1.197372202316326628e-01,5.034530826058011832e-02,2.619999999999995666e-01,5.400000000000027001e-02,4.822125889090217998e-01,1.355110232470747300e-01,6.341273467765552729e-02,2.629999999999999005e-01,5.299999999999993605e-02
9.989901101643801073e-01,4.229306211684997208e-01,2.435338212841322292e-01,5.037857216284445661e-02,2.370000000000000995e-01,5.299999999999993605e-02,4.242028880673269220e-01,2.689889029392948383e-01,6.311795466963150691e-02,2.379999999999995453e-01,5.299999999999993605e-02
9.982668015224381852e-01,4.165850523034448361e-01,2.712295686595950772e-01,4.302630087804531350e-02,2.539999999999995595e-01,5.899999999999927525e-02,4.151290729941295443e-01,3.068289982902704938e-01,5.753239220806789789e-02,2.530000000000001137e-01,5.699999999999949551e-02
9.990754427412535943e-01,4.285061057642268745e-01,2.729079252860865390e-01,5.041521589422656713e-02,2.240000000000001990e-01,4.999999999999982236e-02,4.283008952031820971e-01,2.954943546123077192e-01,6.344635315670424380e-02,2.249999999999996447e-01,5.199999999999960210e-02
9.976124489662303585e-01,3.666378265854898788e-01,2.261657009613380898e-01,5.564375380303661356e-02,2.379999999999995453e-01,4.899999999999948841e-02,3.680533806031383581e-01,2.680565154853657983e-01,7.694072604325132014e-02,2.379999999999995453e-01,4.599999999999937472e-02
9.988372416617959937e-01,3.893056687578654307e-01,3.629659231751879434e-01,4.838954560888204109e-02,2.239999999999993108e-01,5.499999999999971578e-02,3.888108864352429195e-01,3.928165681338046666e-01,6.389472413363593561e-02,2.239999999999993108e-01,5.299999999999993605e-02
