# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.976940242336924669e-01,2.906377768109777437e-01,4.558018348599318093e-01,2.058818932859140388e-02,2.219999999999995310e-01,5.299999999999993605e-02,2.825354257761804599e-01,4.972055152291570135e-01,3.109332095118057943e-02,2.219999999999995310e-01,5.400000000000027001e-02
9.977560434573725656e-01,3.720498388412890600e-01,4.244941320779520577e-01,3.232365203690112931e-02,2.210000000000000853e-01,5.299999999999993605e-02,3.653434792745588466e-01,4.549619782170739590e-01,4.776862202068270918e-02,2.210000000000000853e-01,5.700000000000038369e-02
9.986992889236810944e-01,3.713274835321073164e-01,4.105819945597557474e-01,3.523630796596369241e-02,2.029999999999994031e-01,5.099999999999926814e-02,3.658943650271149206e-01,4.371894420627191469e-01,4.730057799160239385e-02,2.029999999999994031e-01,5.099999999999926814e-02
9.980279197434527294e-01,3.583666202555803593e-01,3.718098066319892037e-01,5.133733278787076804e-02,2.339999999999999858e-01,5.000000000000071054e-02,3.554212577626728042e-01,3.983772993634961956e-01,6.912349363309938655e-02,2.339999999999999858e-01,5.200000000000049027e-02
9.985056912564338472e-01,3.844497917782317420e-01,4.057694993682020024e-01,2.973910702751797128e-02,2.200000000000006395e-01,5.500000000000060396e-02,3.789480660776869958e-01,4.313053166392066262e-01,4.199129229445950490e-02,2.190000000000003055e-01,5.500000000000060396e-02
9.989714088868416608e-01,4.008098439865029894e-01,4.041503457336192429e-01,4.702281432860733190e-02,1.979999999999995097e-01,4.599999999999937472e-02,3.966462405144164372e-01,4.310498324153668182e-01,6.093651852827455112e-02,1.979999999999995097e-01,4.699999999999970868e-02
9.986165459543810963e-01,4.202881311397849706e-01,2.978469917296812097e-01,4.480355058508776050e-02,2.309999999999998721e-01,5.499999999999971578e-02,4.192001186504349941e-01,3.131469466813771585e-01,5.844060197477896068e-02,2.309999999999998721e-01,5.399999999999938183e-02
9.989373690130072259e-01,4.146572225234541609e-01,2.350134253915831528e-01,5.010549857733770374e-02,2.300000000000004263e-01,4.900000000000037659e-02,4.122901671285462699e-01,2.532875429888884478e-01,6.349207095804418333e-02,2.300000000000004263e-01,4.800000000000004263e-02
9.981068456687400836e-01,3.398154101558473750e-01,4.896148507667466010e-01,2.083478126888291607e-02,2.080000000000001847e-01,5.500000000000060396e-02,3.303946961276403305e-01,5.268713211286033538e-01,3.303808667721654102e-02,2.070000000000007390e-01,5.600000000000004974e-02
9.994740557327128627e-01,5.014218994588742762e-01,6.681006803439083763e-02,5.188782039381339278e-02,2.660000000000000142e-01,5.200000000000049027e-02,5.021423209427210432e-01,7.315020863671416185e-02,6.440090142552690189e-02,2.660000000000000142e-01,5.100000000000015632e-02
9.993573158656827715e-01,4.805165114999713216e-01,1.213624988417001255e-01,4.993733956656543072e-02,2.619999999999995666e-01,5.400000000000027001e-02,4.806573424076520107e-01,1.317573549147782463e-01,6.283328798801156301e-02,2.619999999999995666e-01,5.400000000000027001e-02
9.989901101643801073e-01,4.192077109543222435e-01,2.387551608115781598e-01,4.774600076047032238e-02,2.370000000000000995e-01,5.299999999999993605e-02,4.190898632212679553e-01,2.541028298741979663e-01,5.960826898430083426e-02,2.370000000000000995e-01,5.299999999999993605e-02
9.982668015224381852e-01,4.139941299587005519e-01,2.688242728127911985e-01,4.106367782829244834e-02,2.539999999999995595e-01,5.999999999999960920e-02,4.109123356144239181e-01,2.909841871688680359e-01,5.467895407397963675e-02,2.539999999999995595e-01,6.099999999999994316e-02
9.990754427412535943e-01,4.272104167381186035e-01,2.721688549805071355e-01,4.906268427434107987e-02,2.240000000000001990e-01,5.199999999999960210e-02,4.261480408783083762e-01,2.883134011842999334e-01,6.198190271556971304e-02,2.249999999999996447e-01,5.199999999999960210e-02
9.976124489662303585e-01,3.718208289803302535e-01,2.425335109469595740e-01,5.771122446637463876e-02,2.389999999999998792e-01,4.499999999999992895e-02,3.686356106984925995e-01,2.661759189858193264e-01,7.815010437822815514e-02,2.379999999999995453e-01,4.599999999999937472e-02
9.988372416617959937e-01,3.919709694328410987e-01,3.674500404672783604e-01,4.857568126120924423e-02,2.239999999999993108e-01,5.299999999999993605e-02,3.880364952050900373e-01,3.898890406405231546e-01,6.427138553599121007e-02,2.239999999999993108e-01,5.299999999999993605e-02
9.984577822947398040e-01,4.024376087485978526e-01,3.570953432177405018e-01,3.585680117897254576e-02,2.660000000000000142e-01,6.400000000000005684e-02,3.993888816077673654e-01,3.778317475209230780e-01,4.906572315266501810e-02,2.660000000000000142e-01,6.400000000000005684e-02
9.981008147785558338e-01,4.176412071994051178e-01,2.245656018216962146e-01,4.623403599289992866e-02,2.390000000000007674e-01,5.300000000000082423e-02,4.139061225496524221e-01,2.453847442675590462e-01,6.207836207452108179e-02,2.380000000000004334e-01,5.400000000000027001e-02
9.985287931675190798e-01,4.159830985529798242e-01,2.284421912465570692e-01,4.905786283591036245e-02,2.300000000000004263e-01,4.999999999999982236e-02,4.148674249831145744e-01,2.449339745493241682e-01,6.331727267799491798e-02,2.300000000000004263e-01,5.299999999999993605e-02
9.991813936210112157e-01,5.521690313368166070e-01,2.863611693495338173e-02,6.721037765818971277e-02,2.800000000000002487e-01,5.299999999999993605e-02,5.574140408183343443e-01,3.133990822175154733e-02,8.468265948473005511e-02,2.789999999999999147e-01,4.999999999999982236e-02
9.989649340725483828e-01,4.438471498537380766e-01,2.186371246908383748e-01,5.657994143651681740e-02,2.289999999999992042e-01,4.999999999999982236e-02,4.445003168829833595e-01,2.328546202929420439e-01,7.100010621263905253e-02,2.289999999999992042e-01,4.899999999999948841e-02
9.993592081320692433e-01,5.856100965440997896e-01,3.894131399898804330e-02,7.142713464515186572e-02,2.569999999999996732e-01,4.399999999999959499e-02,5.900153868982684902e-01,4.160038049536144561e-02,8.868220145370249441e-02,2.569999999999996732e-01,4.399999999999959499e-02
9.991476766556230960e-01,4.610827549770690759e-01,9.734361963493012859e-02,5.295411879421836610e-02,2.660000000000000142e-01,5.400000000000027001e-02,4.625391633279588022e-01,1.060362378926668625e-01,6.711574493951331932e-02,2.649999999999996803e-01,5.499999999999971578e-02
9.992592259857029369e-01,4.375883286849369114e-01,2.354920898685639863e-01,5.032234372330054994e-02,2.160000000000001918e-01,5.000000000000071054e-02,4.368428146602401085e-01,2.506902268981248683e-01,6.213161469873786091e-02,2.160000000000001918e-01,5.000000000000071054e-02
9.984020458862057357e-01,4.142392179182107781e-01,2.055756263934392369e-01,5.713662939149578152e-02,2.480000000000002203e-01,5.199999999999960210e-02,4.156669510396338585e-01,2.198489467038362843e-01,7.344031914761844915e-02,2.469999999999998863e-01,5.299999999999993605e-02
9.978925571328831623e-01,3.330312048583966567e-01,4.403610650709650631e-01,1.454355178491004152e-02,2.019999999999999574e-01,5.499999999999971578e-02,3.241628009523301324e-01,4.716891023374376046e-01,2.383815455370672312e-02,2.019999999999999574e-01,5.599999999999916156e-02
9.992314718834331977e-01,4.303988736085032074e-01,2.997863697868551891e-01,4.933991780663342375e-02,2.130000000000000782e-01,4.999999999999982236e-02,4.294910788905668131e-01,3.170424590347090676e-01,6.173103604269757766e-02,2.130000000000000782e-01,5.100000000000015632e-02
9.979821225086271674e-01,3.747592273090670778e-01,3.752748478070557225e-01,5.121664264277271672e-02,2.560000000000002274e-01,5.799999999999982947e-02,3.747409069735853082e-01,3.921925791556042373e-01,6.804836096472109686e-02,2.549999999999998934e-01,5.799999999999982947e-02
9.984609646746642753e-01,3.673333953271032404e-01,4.305190441850160199e-01,4.737808925456945403e-02,2.029999999999994031e-01,4.800000000000004263e-02,3.604984337052347110e-01,4.663860728253815813e-01,6.284478580064746522e-02,2.029999999999994031e-01,4.899999999999948841e-02
9.973477024600321261e-01,3.732179368030619226e-01,2.880123981319263615e-01,3.880344851503354786e-02,2.389999999999998792e-01,5.400000000000027001e-02,3.700225308000755775e-01,3.105417732570266431e-01,5.403816701394402455e-02,2.380000000000004334e-01,5.499999999999971578e-02
9.984646658020936982e-01,3.931741079417324092e-01,3.280755419280831919e-01,4.146881892602034131e-02,2.430000000000003268e-01,5.900000000000016342e-02,3.908595164551983969e-01,3.495544667379100190e-01,5.521984870222058917e-02,2.419999999999999929e-01,5.799999999999982947e-02
9.993179720602967109e-01,5.023651262990044275e-01,1.262587621179090125e-01,5.276216707610968670e-02,2.330000000000005400e-01,4.999999999999982236e-02,5.029282666047857342e-01,1.378223306056938491e-01,6.560801610877338430e-02,2.320000000000002061e-01,4.900000000000037659e-02
9.992184624152372630e-01,4.237094924924662553e-01,2.902498376739712227e-01,4.638950010158546244e-02,2.210000000000000853e-01,4.900000000000037659e-02,4.204113348925536120e-01,3.113884109474240880e-01,5.801075072156559181e-02,2.200000000000006395e-01,5.000000000000071054e-02
9.984695164040864324e-01,3.991630286057247790e-01,2.558082679245690105e-01,5.440737325140094366e-02,2.570000000000005613e-01,5.900000000000016342e-02,4.001876643391869548e-01,2.699671575271641588e-01,7.113619167015294842e-02,2.580000000000000071e-01,5.700000000000038369e-02
9.989801968479445904e-01,3.950483704421852149e-01,4.216797320631077151e-01,4.354094929276292048e-02,2.339999999999999858e-01,6.300000000000061107e-02,3.939364835533164522e-01,4.355975962259191481e-01,5.676626810440498633e-02,2.330000000000005400e-01,6.300000000000061107e-02
9.986437386390025761e-01,3.975307084468788221e-01,3.478682153451158610e-01,4.481590504390636776e-02,2.210000000000000853e-01,5.100000000000015632e-02,3.929551275907500196e-01,3.752869890600600833e-01,5.863491720563374782e-02,2.210000000000000853e-01,5.100000000000015632e-02
9.986480891721283282e-01,4.179413423399058192e-01,2.027882736547201026e-01,4.729780945497485956e-02,2.660000000000000142e-01,5.400000000000027001e-02,4.159721262212491277e-01,2.204949052249723929e-01,6.174329063675631363e-02,2.650000000000005684e-01,5.600000000000004974e-02
9.988297554766908393e-01,4.250923645503397741e-01,2.913971922936580139e-01,5.146986010833495134e-02,2.439999999999997726e-01,5.799999999999982947e-02,4.259776613538588941e-01,3.064783389895103238e-01,6.549248154271559985e-02,2.430000000000003268e-01,5.799999999999982947e-02
9.986211327725126319e-01,3.749371274835210377e-01,4.336512019162238607e-01,3.899874727996136686e-02,2.210000000000000853e-01,5.700000000000038369e-02,3.720573515385076635e-01,4.523546158166307785e-01,5.334865580437685162e-02,2.210000000000000853e-01,5.700000000000038369e-02
9.986503065237073429e-01,4.280208490697234858e-01,1.717145998102541371e-01,5.343566105787125875e-02,2.259999999999999787e-01,4.600000000000026290e-02,4.278486041569398157e-01,1.851752627189241773e-01,6.887740935421420019e-02,2.259999999999999787e-01,4.699999999999970868e-02
9.982917559775106309e-01,3.701262388353638855e-01,3.975356643283569080e-01,3.189862685521769464e-02,2.240000000000001990e-01,5.400000000000027001e-02,3.653647840820434256e-01,4.226536044897311051e-01,4.439460386458222996e-02,2.240000000000001990e-01,5.400000000000027001e-02
9.971716393714362692e-01,3.169626327456817605e-01,4.890494740930734774e-01,3.551402060449845161e-02,2.149999999999998579e-01,4.999999999999982236e-02,3.102756885239720819e-01,5.292427600685003508e-01,5.222780723757814575e-02,2.139999999999995239e-01,5.099999999999926814e-02
9.992928202346822442e-01,4.944425463567679313e-01,8.706154500818583108e-02,5.992497778262083352e-02,2.409999999999996589e-01,4.800000000000004263e-02,4.954053669685406502e-01,9.585885216037119683e-02,7.487435816021302537e-02,2.409999999999996589e-01,4.900000000000037659e-02
9.988325972570236688e-01,3.810155584164647280e-01,3.233152076459268054e-01,5.503561100861890931e-02,2.370000000000000995e-01,5.400000000000027001e-02,3.809181015724615871e-01,3.396435696532029147e-01,6.940540634350124416e-02,2.370000000000000995e-01,5.400000000000027001e-02
9.958035959426027039e-01,3.134678984210317321e-01,4.024534454036958198e-01,2.944484970500454990e-02,2.410000000000005471e-01,5.000000000000071054e-02,3.059459994361530821e-01,4.432876888172139207e-01,4.543194157422748153e-02,2.410000000000005471e-01,5.200000000000049027e-02
9.983934245640363470e-01,4.015164088150205979e-01,2.196541588653631860e-01,5.657125898915622148e-02,2.229999999999998650e-01,4.499999999999992895e-02,4.011723751016156303e-01,2.376613175619102514e-01,7.340378719179417588e-02,2.229999999999998650e-01,4.499999999999992895e-02
9.980225426283318990e-01,4.076080159925763446e-01,3.785651012488879252e-01,3.465862153107321375e-02,2.510000000000003340e-01,6.200000000000027711e-02,4.054757757747157187e-01,3.944775737451559627e-01,4.897428956920782395e-02,2.500000000000000000e-01,6.400000000000005684e-02
9.979656951895222727e-01,3.350940557145162257e-01,3.702365791171041698e-01,3.888205176683164066e-02,2.350000000000003197e-01,5.299999999999993605e-02,3.288706329725605282e-01,4.033100820848392609e-01,5.386428795694068322e-02,2.339999999999999858e-01,5.499999999999971578e-02
9.993275916572570416e-01,4.863514495823530459e-01,6.247208118452637210e-02,5.758780491731219087e-02,2.690000000000001279e-01,5.400000000000027001e-02,4.891869651514903494e-01,6.850574347943923226e-02,7.126165779173812553e-02,2.690000000000001279e-01,5.499999999999971578e-02
9.982160549258645155e-01,4.154327150842282435e-01,2.111872311371973954e-01,4.710003902961514000e-02,2.389999999999998792e-01,4.900000000000037659e-02,4.131663557655224639e-01,2.286913358419537801e-01,6.302905681911823155e-02,2.389999999999998792e-01,4.999999999999982236e-02
9.993999254142879041e-01,5.065460041639802125e-01,8.775234302880109694e-02,4.762288041398355515e-02,2.399999999999993250e-01,4.499999999999992895e-02,5.066784552121563756e-01,9.495318691281283419e-02,5.973352562121812814e-02,2.399999999999993250e-01,4.699999999999970868e-02
9.994457900043887122e-01,5.089659583105005103e-01,1.486276942881109842e-01,5.950307336120898294e-02,2.099999999999999645e-01,4.199999999999981526e-02,5.100840754156918955e-01,1.591839790597147641e-01,7.243495447417636068e-02,2.089999999999996305e-01,4.199999999999981526e-02
9.994093300468874785e-01,4.726823324049140851e-01,2.117153447855846804e-01,4.620273508697899517e-02,2.089999999999996305e-01,4.599999999999937472e-02,4.718922560986228421e-01,2.247083181639439042e-01,5.711724483925621765e-02,2.079999999999992966e-01,4.499999999999992895e-02
9.995042712818483777e-01,5.415843430834229588e-01,8.262940541702168407e-02,7.197971848741700762e-02,2.400000000000002132e-01,4.399999999999959499e-02,5.445084598777309992e-01,8.926302777424240109e-02,8.739483267588091242e-02,2.400000000000002132e-01,4.399999999999959499e-02
9.992402953841300617e-01,4.785145524474108125e-01,2.062731199665584214e-01,5.188973660759406414e-02,2.089999999999996305e-01,4.399999999999959499e-02,4.781999087016418626e-01,2.202235492404283623e-01,6.502067253841467553e-02,2.089999999999996305e-01,4.399999999999959499e-02
9.997351484307736014e-01,6.134399475965371940e-01,6.254763526526088691e-02,6.256421773081280446e-02,2.370000000000000995e-01,4.300000000000014921e-02,6.156763184537350497e-01,6.595470057490447624e-02,7.500544035510174623e-02,2.370000000000000995e-01,4.300000000000014921e-02
9.996998392289231372e-01,5.695916023239444570e-01,4.012690908575053395e-02,6.191394939557812171e-02,2.150000000000007461e-01,3.800000000000025580e-02,5.713523970045807365e-01,4.377396921527107465e-02,7.405604861076019174e-02,2.150000000000007461e-01,3.900000000000058975e-02
9.995861240840471229e-01,4.909907766435440135e-01,1.885440043152662448e-01,6.065276962102192360e-02,2.220000000000004192e-01,4.800000000000004263e-02,4.928092754024761546e-01,1.990032497402547951e-01,7.259548441012826647e-02,2.210000000000000853e-01,4.800000000000004263e-02
9.996228480969068242e-01,5.669774001263994112e-01,7.330238987987333643e-02,6.756289960951927798e-02,2.580000000000000071e-01,4.800000000000004263e-02,5.692153941569476627e-01,7.830738219190985783e-02,8.166089991840731754e-02,2.580000000000000071e-01,4.800000000000004263e-02
9.998320293524389779e-01,5.282080625250287209e-01,9.524455446885489451e-02,5.313444819739415736e-02,2.139999999999995239e-01,4.399999999999959499e-02,5.287734654659976830e-01,1.039364285134700139e-01,6.151180703594420762e-02,2.139999999999995239e-01,4.499999999999992895e-02
9.997561748073594545e-01,5.954574169422455210e-01,5.725802117920072293e-02,5.463735724914677711e-02,2.480000000000002203e-01,4.800000000000004263e-02,5.973468573652890301e-01,6.093498698472265412e-02,6.568628034788742687e-02,2.480000000000002203e-01,4.900000000000037659e-02
9.995865315407829188e-01,5.402238390332803064e-01,9.425961601953027069e-02,5.378351832410207395e-02,2.200000000000006395e-01,4.400000000000048317e-02,5.407060351232252371e-01,1.027076583833998191e-01,6.594798359458306503e-02,2.200000000000006395e-01,4.400000000000048317e-02
9.991205588135051441e-01,4.474068480571757878e-01,1.047514793887088097e-01,8.042753221492206228e-02,2.339999999999999858e-01,4.100000000000036948e-02,4.486460489776225025e-01,1.145991381146347216e-01,9.865909967044510231e-02,2.339999999999999858e-01,4.300000000000014921e-02
9.998618033760905410e-01,6.239377716663186968e-01,5.143951820673780401e-02,7.054377827673687096e-02,2.539999999999995595e-01,4.499999999999992895e-02,6.280712192055810661e-01,5.430512434068218014e-02,8.070443886658995591e-02,2.539999999999995595e-01,4.699999999999970868e-02
9.996816386456754966e-01,5.784729700846494849e-01,7.033832166504898342e-02,6.116628308966564481e-02,2.549999999999998934e-01,4.800000000000004263e-02,5.810320425643102915e-01,7.512666827566200078e-02,7.339718478930422341e-02,2.549999999999998934e-01,4.699999999999970868e-02
9.995308601574066643e-01,5.724566439947820218e-01,7.257315224479010674e-02,5.670873878401705426e-02,2.330000000000005400e-01,4.400000000000048317e-02,5.749413935424643185e-01,7.798528415627389854e-02,6.988972907734103401e-02,2.320000000000002061e-01,4.400000000000048317e-02
9.997699680976791514e-01,5.069171869331718927e-01,1.458835706038851820e-01,5.117575805468408540e-02,2.030000000000002913e-01,4.400000000000048317e-02,5.078153759616832463e-01,1.559330589948845491e-01,6.022867995908573469e-02,2.019999999999999574e-01,4.500000000000081712e-02
9.995678068322597642e-01,5.897230937535868911e-01,4.281169608936719745e-02,6.708209927629689429e-02,2.359999999999997655e-01,4.399999999999959499e-02,5.945528289414110379e-01,4.636690424726550019e-02,8.116276605745326167e-02,2.359999999999997655e-01,4.299999999999926104e-02
9.998234999122019850e-01,6.003559279653413183e-01,4.949905376821718550e-02,6.630904315958956186e-02,2.290000000000000924e-01,4.200000000000070344e-02,6.039249046015768840e-01,5.287685339814533758e-02,7.686700731334387970e-02,2.280000000000006466e-01,4.200000000000070344e-02
9.996291692636787296e-01,5.909315234590049037e-01,5.667289087147223126e-02,6.849939421375038362e-02,2.309999999999998721e-01,4.100000000000036948e-02,5.946157957089144297e-01,6.038537172845017537e-02,8.261360903858487592e-02,2.309999999999998721e-01,4.100000000000036948e-02
9.996598541439645214e-01,5.219533641656783907e-01,9.330077029973063429e-02,5.476944311435105739e-02,2.249999999999996447e-01,4.699999999999970868e-02,5.241049844829184234e-01,1.013248874307057790e-01,6.586535151908762264e-02,2.240000000000001990e-01,4.600000000000026290e-02
9.992178195589305201e-01,5.466858450652414270e-01,6.610537635386075361e-02,7.432615394808667064e-02,2.480000000000002203e-01,4.300000000000014921e-02,5.503480303443024635e-01,7.138824286309866651e-02,9.252847328440157171e-02,2.469999999999998863e-01,4.399999999999959499e-02
9.998628249410043134e-01,6.037529152757779016e-01,5.685717006537970020e-02,5.949074746583475626e-02,2.259999999999999787e-01,4.099999999999948130e-02,6.058060486047712745e-01,6.092620630874745480e-02,6.937497109197567069e-02,2.259999999999999787e-01,4.199999999999981526e-02
9.994203831878765154e-01,4.935261412807674386e-01,6.756608623505909461e-02,5.251552974219846071e-02,2.419999999999999929e-01,4.500000000000081712e-02,4.943880357884447574e-01,7.377762187790180837e-02,6.539172544008808874e-02,2.419999999999999929e-01,4.600000000000026290e-02
9.998236262912653105e-01,6.674632715829859064e-01,7.825013372043110316e-02,7.562362198512287415e-02,2.540000000000004476e-01,4.000000000000003553e-02,6.718650487849179287e-01,7.835210430343257648e-02,8.843907216792969150e-02,2.530000000000001137e-01,3.699999999999992184e-02
9.994306995540618299e-01,5.151937079770798622e-01,1.102962618535977962e-01,5.882393552471514020e-02,2.080000000000001847e-01,4.199999999999981526e-02,5.154009648651729503e-01,1.190576400877774443e-01,7.235844163738201773e-02,2.069999999999998508e-01,4.100000000000036948e-02
