# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.056144645714341301e-01,4.187249158590869436e-01,2.807910573828970580e-01,7.442923516970839648e-02,2.329999999999996518e-01,2.599999999999980105e-02,4.029902835318586729e-01,3.692665308297753413e-01,3.762591511253273180e-01,2.290000000000000924e-01,1.999999999999957367e-02
9.055048234201229507e-01,4.934321111824697681e-01,2.894754514707429949e-01,6.137163216502670993e-02,2.300000000000004263e-01,2.599999999999980105e-02,4.781458009629024897e-01,3.657600002487412238e-01,3.589070123829533054e-01,2.259999999999999787e-01,2.099999999999990763e-02
9.245686514750284246e-01,4.955672829895784171e-01,2.821986134953871073e-01,7.837776469481251562e-02,2.109999999999994102e-01,2.199999999999935341e-02,4.843479234991519555e-01,3.356508777269029964e-01,3.469594316754627261e-01,2.079999999999992966e-01,1.899999999999923972e-02
9.276203979888298923e-01,5.165219814380502816e-01,2.620988812555243297e-01,6.873491942337953131e-02,2.430000000000003268e-01,2.700000000000013500e-02,5.116169180817392581e-01,3.064744859599163873e-01,3.231596105389703544e-01,2.380000000000004334e-01,2.100000000000079581e-02
9.200036455545885783e-01,5.036725978485201427e-01,2.720502244192500307e-01,6.340485258622985398e-02,2.280000000000006466e-01,2.400000000000002132e-02,4.911986558534304770e-01,3.269374750604595592e-01,3.269300564429840072e-01,2.250000000000005329e-01,2.100000000000079581e-02
9.555667708520539927e-01,6.167316592743827819e-01,1.848006724023150416e-01,8.347042424795514393e-02,2.489999999999996660e-01,2.299999999999968736e-02,6.300042980612682308e-01,1.687351054001913764e-01,2.796239285994998602e-01,2.469999999999998863e-01,1.999999999999957367e-02
9.649206406984565110e-01,6.207984630183881469e-01,1.775907201489444198e-01,9.241744429044471132e-02,2.169999999999996376e-01,2.199999999999935341e-02,6.319935132950037504e-01,1.793723481041266110e-01,3.019226132713605515e-01,2.149999999999998579e-01,1.699999999999945999e-02
9.539956874494902594e-01,5.890118941735155156e-01,1.918410642126604226e-01,8.217062731374925877e-02,2.169999999999996376e-01,2.099999999999990763e-02,5.944416603762180396e-01,1.930118708925316062e-01,2.695168034661798440e-01,2.149999999999998579e-01,1.799999999999979394e-02
9.683003660448479266e-01,6.630527538152719558e-01,1.370917127561986915e-01,9.719961997427599421e-02,2.480000000000002203e-01,2.500000000000035527e-02,6.814398145846289889e-01,1.298361006875018986e-01,3.180131802073126734e-01,2.460000000000004405e-01,1.900000000000012790e-02
9.549643549837100176e-01,5.912100115888198060e-01,1.980467922726584784e-01,8.394790358852718959e-02,2.159999999999993037e-01,2.199999999999935341e-02,5.985620304315755202e-01,2.060642914009304383e-01,3.012863058760963386e-01,2.139999999999995239e-01,1.799999999999979394e-02
9.817199592286501852e-01,6.832508780435248008e-01,2.446788971504540167e-01,1.167556909420684186e-01,2.199999999999997513e-01,1.899999999999923972e-02,7.055048514893318412e-01,2.097824066757115746e-01,2.699167431159419928e-01,2.199999999999997513e-01,1.699999999999945999e-02
9.786292725019508643e-01,6.141025869459157960e-01,5.323903568341578074e-01,1.250331675113871832e-01,2.500000000000000000e-01,1.999999999999957367e-02,6.419204793915664897e-01,4.930146281790001583e-01,2.434524140886269172e-01,2.500000000000000000e-01,1.699999999999945999e-02
9.817460280205615453e-01,6.387236569066094827e-01,4.473822801805793503e-01,1.382650455992366356e-01,2.789999999999999147e-01,2.299999999999968736e-02,6.667784910193713666e-01,4.116736854796335665e-01,2.598591334747757386e-01,2.770000000000001350e-01,1.900000000000012790e-02
9.809916944057311960e-01,7.023102061173681632e-01,2.928231499690573392e-01,1.124097942598414057e-01,2.430000000000003268e-01,2.100000000000079581e-02,7.302087662684053626e-01,2.523544432923270908e-01,2.792519497419744812e-01,2.419999999999999929e-01,1.700000000000034817e-02
9.819541920479393227e-01,6.572649564468565631e-01,4.484996601484793621e-01,1.210909695111823947e-01,2.370000000000000995e-01,1.999999999999957367e-02,6.862844292861254303e-01,4.056030398082818844e-01,2.536038110343303842e-01,2.359999999999997655e-01,1.700000000000034817e-02
