# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.056144645714341301e-01,4.280795579802773032e-01,3.395096756793180570e-01,1.879869292691370430e-01,2.320000000000002061e-01,9.000000000000341061e-03,4.052737260510101414e-01,3.715127502309433782e-01,4.068257869449882769e-01,2.290000000000000924e-01,1.799999999999979394e-02
9.055048234201229507e-01,5.016954337486362325e-01,3.363598096199658660e-01,1.735068795017381538e-01,2.290000000000000924e-01,8.000000000000007105e-03,4.800172479257778235e-01,3.741170343458755654e-01,4.016122371432972460e-01,2.249999999999996447e-01,1.900000000000012790e-02
9.245686514750284246e-01,5.023983007728566319e-01,3.241154372284653085e-01,1.801279010540814962e-01,2.109999999999994102e-01,8.999999999999452882e-03,4.861024573291101714e-01,3.442602865184090088e-01,3.951537767643426569e-01,2.079999999999992966e-01,1.699999999999945999e-02
9.276203979888298923e-01,5.231033463349661350e-01,2.991923784268337161e-01,1.729794396354429331e-01,2.419999999999999929e-01,9.000000000000341061e-03,5.131232874536985067e-01,3.151015864938090938e-01,3.709483718245903394e-01,2.390000000000007674e-01,1.900000000000012790e-02
9.200036455545885783e-01,5.110878849278772673e-01,3.132688271086093712e-01,1.627957694992287485e-01,2.280000000000006466e-01,8.000000000000007105e-03,4.940361648759559743e-01,3.341428126778511198e-01,3.668419162853784332e-01,2.240000000000001990e-01,1.900000000000012790e-02
9.418121323968906555e-01,5.470901016720820520e-01,3.222874979086281511e-01,1.787573606632066603e-01,2.059999999999995168e-01,8.999999999999452882e-03,5.380231534976925856e-01,3.364009049341053492e-01,3.784579437064207186e-01,2.029999999999994031e-01,1.600000000000001421e-02
9.270926545350243186e-01,5.617318392762336021e-01,2.289314151266192143e-01,1.655083893258903482e-01,2.419999999999999929e-01,9.999999999999786837e-03,5.608950225299417225e-01,2.250736437387274858e-01,3.573290970093448427e-01,2.379999999999995453e-01,1.799999999999979394e-02
9.400774521528736383e-01,5.559789808440666059e-01,2.341705829196727151e-01,1.797729414286064753e-01,2.400000000000002132e-01,9.999999999999786837e-03,5.546827063117032441e-01,2.311798948415750565e-01,3.627344461983999513e-01,2.359999999999997655e-01,1.700000000000034817e-02
9.200946109212004842e-01,4.658815711046683239e-01,3.591003383734125420e-01,1.669732119317633434e-01,2.160000000000001918e-01,9.000000000000341061e-03,4.356328524992273965e-01,4.188011475561151387e-01,3.891594340282567011e-01,2.130000000000000782e-01,2.000000000000046185e-02
9.602739087317305744e-01,6.381342513690059226e-01,1.452923549579545337e-01,1.913438518294849344e-01,2.750000000000003553e-01,1.100000000000012079e-02,6.494537804258909697e-01,1.221099425510498576e-01,3.638136163970118186e-01,2.730000000000005755e-01,1.800000000000068212e-02
9.560156349357223915e-01,6.118738490925740292e-01,1.512795437904668194e-01,1.888231206493632963e-01,2.720000000000002416e-01,1.100000000000012079e-02,6.215454512238965945e-01,1.358518076037514843e-01,3.698619480826617067e-01,2.690000000000001279e-01,1.900000000000012790e-02
9.399504936814194744e-01,5.678879303677146773e-01,2.081778328811884904e-01,1.759671471208820170e-01,2.479999999999993321e-01,1.100000000000012079e-02,5.710819563079742034e-01,2.012578354367027533e-01,3.618218765488708799e-01,2.439999999999997726e-01,1.699999999999945999e-02
9.109059790374777199e-01,5.440775929378764975e-01,2.227688990454319284e-01,1.785510548210909598e-01,2.639999999999993463e-01,9.999999999999786837e-03,5.377985963188084417e-01,2.319930455654015122e-01,4.019628292498630406e-01,2.610000000000001208e-01,1.999999999999957367e-02
9.394856720368136571e-01,5.631775089060656603e-01,2.195790587418962325e-01,1.774453906408057502e-01,2.329999999999996518e-01,8.999999999999452882e-03,5.623337780784646300e-01,2.179199310155529590e-01,3.675935521126547090e-01,2.309999999999998721e-01,1.699999999999945999e-02
9.192285438902572103e-01,5.201579825799069745e-01,2.972021697904202453e-01,2.160253141387839249e-01,2.479999999999993321e-01,8.000000000000007105e-03,5.162598583071910108e-01,2.972894671623131924e-01,4.297250168492450784e-01,2.439999999999997726e-01,1.699999999999945999e-02
9.388741547021911549e-01,5.534478386452690302e-01,2.622741972427686252e-01,1.735962928007338535e-01,2.309999999999998721e-01,8.999999999999452882e-03,5.421966347053833735e-01,2.791587040357129679e-01,3.789688384979272850e-01,2.279999999999997584e-01,1.799999999999979394e-02
9.200636413351301890e-01,5.303309034090853968e-01,2.573889336010056206e-01,1.531621179162848678e-01,2.770000000000001350e-01,1.100000000000012079e-02,5.211580406351802308e-01,2.696426660641001449e-01,3.514309918542172229e-01,2.729999999999996874e-01,2.299999999999968736e-02
9.119358632717058377e-01,5.464817894057695247e-01,2.320253866774145413e-01,1.909331502268251102e-01,2.480000000000002203e-01,9.000000000000341061e-03,5.414558781873013427e-01,2.372541578308418886e-01,4.173320313468557030e-01,2.440000000000006608e-01,1.800000000000068212e-02
9.304900751978333329e-01,5.590246918127615983e-01,2.116468441537407708e-01,1.843450870061977831e-01,2.389999999999998792e-01,9.000000000000341061e-03,5.598788508818225429e-01,2.057926265529381737e-01,3.816408298537725119e-01,2.359999999999997655e-01,1.799999999999979394e-02
9.617348288746420115e-01,7.040897835847146347e-01,1.197619656041235686e-01,2.151491132224933323e-01,2.880000000000002558e-01,9.999999999999786837e-03,7.243498406542816515e-01,8.910243060073178012e-02,4.132667023574997378e-01,2.850000000000001421e-01,1.900000000000012790e-02
9.511046922942912873e-01,6.000962657107176135e-01,1.931105502902809856e-01,1.929879554845093381e-01,2.359999999999997655e-01,8.999999999999452882e-03,6.046110193023992441e-01,1.892305146498807766e-01,3.831983625681892325e-01,2.339999999999999858e-01,1.699999999999945999e-02
9.661083100639740184e-01,7.083822906163279587e-01,1.373455747105035429e-01,2.175833893498093363e-01,2.640000000000002345e-01,9.000000000000341061e-03,7.257506060685838811e-01,1.104255115395273434e-01,3.942197792321480154e-01,2.610000000000001208e-01,1.600000000000001421e-02
9.537197381712336774e-01,6.209337344592301688e-01,1.157415395296059468e-01,1.958221245947945888e-01,2.759999999999998010e-01,1.100000000000012079e-02,6.325096196060370213e-01,1.006339082241791555e-01,3.853235398745911144e-01,2.729999999999996874e-01,1.900000000000012790e-02
9.478224000995951748e-01,5.798187743622760237e-01,2.057351926161632982e-01,1.849479401745241780e-01,2.250000000000005329e-01,9.000000000000341061e-03,5.823659581027903487e-01,1.969171797598549267e-01,3.656690576481844146e-01,2.220000000000004192e-01,1.600000000000001421e-02
9.453751528850163899e-01,5.896195528121864760e-01,1.801727877279024059e-01,1.945231628678827096e-01,2.569999999999996732e-01,9.999999999999786837e-03,5.962011885114211207e-01,1.755530549377246896e-01,3.851074384473337497e-01,2.530000000000001137e-01,1.900000000000012790e-02
9.007632244359998763e-01,4.373038223405960601e-01,3.144223523942322185e-01,1.650836968083936040e-01,2.109999999999994102e-01,8.000000000000007105e-03,4.066630665733492744e-01,3.652094209804378488e-01,3.908478800709156986e-01,2.079999999999992966e-01,1.899999999999923972e-02
9.480333424202994630e-01,5.725291734782023134e-01,2.418086074218794568e-01,1.818067115049157856e-01,2.219999999999995310e-01,9.999999999999786837e-03,5.708042679372686834e-01,2.413597579575367524e-01,3.660619952464069238e-01,2.190000000000003055e-01,1.699999999999945999e-02
9.239155257244534569e-01,5.420956497602983370e-01,2.583820995498554152e-01,1.557618288757703362e-01,2.649999999999996803e-01,1.100000000000012079e-02,5.398836240378057649e-01,2.596156265466029178e-01,3.435792140504675407e-01,2.610000000000001208e-01,2.099999999999990763e-02
9.239481016315470585e-01,5.129110960658707086e-01,3.512497341278256191e-01,1.900305433131956323e-01,2.109999999999994102e-01,8.000000000000007105e-03,4.963252199920226704e-01,3.783138414665027094e-01,4.124911524177254374e-01,2.069999999999998508e-01,1.600000000000001421e-02
8.989347640551975660e-01,5.079740561583824254e-01,2.545619958238295455e-01,1.774464852551697336e-01,2.480000000000002203e-01,8.000000000000007105e-03,4.991652772853224507e-01,2.635289938023342993e-01,3.922734417126605422e-01,2.439999999999997726e-01,1.799999999999979394e-02
9.178357297324855057e-01,5.289264853085889895e-01,2.556003016731644428e-01,1.731115115709115082e-01,2.519999999999997797e-01,9.000000000000341061e-03,5.205916620387811555e-01,2.632192981846452895e-01,3.789563238901225706e-01,2.489999999999996660e-01,1.900000000000012790e-02
9.490073981046933671e-01,6.174968162283592799e-01,1.649889297815663458e-01,1.924120817760715807e-01,2.419999999999999929e-01,9.000000000000341061e-03,6.232553325907068675e-01,1.554450445862528840e-01,3.884746622122057791e-01,2.389999999999998792e-01,1.700000000000034817e-02
9.438205564920031376e-01,5.567465898231166443e-01,2.716974189902811032e-01,1.870967402474296992e-01,2.290000000000000924e-01,9.000000000000341061e-03,5.543774772089570257e-01,2.697977358025021033e-01,3.721190753368676107e-01,2.259999999999999787e-01,1.600000000000001421e-02
9.380292273557290228e-01,5.718278322000436287e-01,1.653978584571912935e-01,1.828633276812828279e-01,2.680000000000006821e-01,1.000000000000067502e-02,5.749518069394100594e-01,1.613403670913466093e-01,3.823646648348225097e-01,2.640000000000002345e-01,2.100000000000079581e-02
9.300820029439144099e-01,5.480961120106739859e-01,2.638199900429734623e-01,1.544534684971565486e-01,2.419999999999999929e-01,1.000000000000067502e-02,5.368738156540144857e-01,2.774211805787708540e-01,3.540742273394019146e-01,2.389999999999998792e-01,2.099999999999990763e-02
9.261027302030382380e-01,5.353548854551353209e-01,2.894216367873703177e-01,1.828158277692664979e-01,2.300000000000004263e-01,9.000000000000341061e-03,5.264083590613526376e-01,3.021766732635047248e-01,3.906637264796046782e-01,2.259999999999999787e-01,1.700000000000034817e-02
9.362138378049171816e-01,5.592087910692805641e-01,2.203181756160973448e-01,1.782267638585126879e-01,2.750000000000003553e-01,1.000000000000067502e-02,5.589929870565076842e-01,2.161004959314884732e-01,3.651479170537354491e-01,2.720000000000002416e-01,1.900000000000012790e-02
9.447114782881338435e-01,5.850826233100870910e-01,1.972516774031500275e-01,1.825132237508356736e-01,2.510000000000003340e-01,9.000000000000341061e-03,5.829685810169685789e-01,2.006071741157858801e-01,3.922585897826038059e-01,2.490000000000005542e-01,2.000000000000046185e-02
9.250815425895847488e-01,5.140958219652412842e-01,3.032508737858281567e-01,1.561427346578477815e-01,2.299999999999995381e-01,9.000000000000341061e-03,4.995534016124269505e-01,3.183838395939069255e-01,3.505234655365283003e-01,2.259999999999999787e-01,1.900000000000012790e-02
9.417350934413598607e-01,5.773281683315402146e-01,1.976379413545209518e-01,1.890310746087860982e-01,2.350000000000003197e-01,9.000000000000341061e-03,5.807342634979337781e-01,1.867630095268492940e-01,3.744290137608247138e-01,2.320000000000002061e-01,1.600000000000001421e-02
9.143517936698838389e-01,5.006323084436524740e-01,3.160477400172370110e-01,1.701132072245602200e-01,2.339999999999999858e-01,9.000000000000341061e-03,4.879008578828269438e-01,3.306003612940742742e-01,3.733560741237171299e-01,2.300000000000004263e-01,1.800000000000068212e-02
9.019126273132219707e-01,4.539086904593237493e-01,3.865806442158359890e-01,1.950805789040093996e-01,2.219999999999995310e-01,6.999999999999673150e-03,4.316330049739353081e-01,4.284144464022249243e-01,4.259507446851212853e-01,2.179999999999999716e-01,1.799999999999979394e-02
9.545837030382579025e-01,6.280586546342443732e-01,1.312155502092132997e-01,2.051996050963160456e-01,2.489999999999996660e-01,9.000000000000341061e-03,6.392562165088004900e-01,1.175652618511834890e-01,3.985571820676678811e-01,2.469999999999998863e-01,1.700000000000034817e-02
9.430263701275281019e-01,5.567238910430796217e-01,2.286416770141254107e-01,1.760035945123444578e-01,2.470000000000007745e-01,1.100000000000012079e-02,5.563316877085205947e-01,2.261888891963402259e-01,3.588525215031274640e-01,2.430000000000003268e-01,1.800000000000068212e-02
8.742196082510619304e-01,4.500451931417731033e-01,3.348829186351743314e-01,2.049941371377670962e-01,2.510000000000003340e-01,8.000000000000007105e-03,4.348348976726095771e-01,3.674209582679539565e-01,4.441200020916438729e-01,2.460000000000004405e-01,1.900000000000012790e-02
9.404512081723417349e-01,5.648233024871945895e-01,2.086594665581505137e-01,1.923318828934694746e-01,2.309999999999998721e-01,8.000000000000007105e-03,5.663445451397776109e-01,2.086264882240928542e-01,3.814450790902350619e-01,2.279999999999997584e-01,1.699999999999945999e-02
9.059588951376170707e-01,5.315889541270636398e-01,2.543637119423742265e-01,1.520041380641908024e-01,2.610000000000001208e-01,1.000000000000067502e-02,5.234665321155426154e-01,2.628643238831943063e-01,3.534847979085139480e-01,2.570000000000005613e-01,2.200000000000024158e-02
9.035276606689024437e-01,4.858903656931667370e-01,2.869231146359888518e-01,2.052338099339663657e-01,2.439999999999997726e-01,9.000000000000341061e-03,4.777352891142384594e-01,3.029348985341517309e-01,4.407638081095894278e-01,2.409999999999996589e-01,1.799999999999979394e-02
9.613210583603142290e-01,6.498136459939363174e-01,1.068180993770989767e-01,2.005604476154053684e-01,2.789999999999999147e-01,9.999999999999786837e-03,6.644729183901488812e-01,8.742341372041118053e-02,3.821716484958149196e-01,2.770000000000001350e-01,1.900000000000012790e-02
9.257044853980764820e-01,5.525998948704051728e-01,2.384323632420572714e-01,1.804665546379154717e-01,2.489999999999996660e-01,9.000000000000341061e-03,5.496086955283312481e-01,2.350682185703098781e-01,3.766007959563506535e-01,2.450000000000001066e-01,1.799999999999979394e-02
9.555667708520539927e-01,6.191396317958349771e-01,2.003070075608803513e-01,1.871322173508534470e-01,2.479999999999993321e-01,8.999999999999452882e-03,6.300799447946220377e-01,1.722554728476763386e-01,3.540584538545337168e-01,2.459999999999995524e-01,1.600000000000001421e-02
9.649206406984565110e-01,6.275147543076621259e-01,1.942477423857923713e-01,2.002328534431326856e-01,2.169999999999996376e-01,8.000000000000007105e-03,6.345867585664383137e-01,1.838491669845997156e-01,3.626125602931782321e-01,2.149999999999998579e-01,1.499999999999968026e-02
9.539956874494902594e-01,5.934425910174480068e-01,2.119184980588054990e-01,1.781335363964898777e-01,2.159999999999993037e-01,8.999999999999452882e-03,5.952360262893220400e-01,2.008211103552396126e-01,3.436603021902759347e-01,2.139999999999995239e-01,1.499999999999968026e-02
9.683003660448479266e-01,6.710526063739117308e-01,1.488899588566027221e-01,2.171683077729741618e-01,2.469999999999998863e-01,8.000000000000007105e-03,6.834420797770744960e-01,1.326333132163889095e-01,3.873495770897859569e-01,2.460000000000004405e-01,1.600000000000001421e-02
9.549643549837100176e-01,5.977779536185831022e-01,2.177982729966321807e-01,1.888363755495144625e-01,2.159999999999993037e-01,8.999999999999452882e-03,6.011007811592513628e-01,2.119047581531990909e-01,3.634830546317129318e-01,2.130000000000000782e-01,1.499999999999968026e-02
9.738377454357329821e-01,6.982989538622201842e-01,1.825293611559437312e-01,2.106051327561726250e-01,2.430000000000003268e-01,9.000000000000341061e-03,7.163362701163957791e-01,1.537629682828489386e-01,3.652710211246573135e-01,2.410000000000005471e-01,1.500000000000056843e-02
9.691788978729192205e-01,6.703295701241500648e-01,1.569568297543829927e-01,2.146389379588971302e-01,2.230000000000007532e-01,9.000000000000341061e-03,6.851163001713677092e-01,1.298119385161570771e-01,3.792813099371911689e-01,2.210000000000000853e-01,1.400000000000023448e-02
9.660828848216661546e-01,6.342855611824750328e-01,1.688324391998074492e-01,1.927587690342316695e-01,2.300000000000004263e-01,9.999999999999786837e-03,6.435031413638839792e-01,1.588578924915182156e-01,3.581656174336589338e-01,2.270000000000003126e-01,1.600000000000001421e-02
9.704431069593784098e-01,6.946149858791338394e-01,1.542311488075349957e-01,2.067642907828597387e-01,2.660000000000000142e-01,9.999999999999786837e-03,7.092217528414515026e-01,1.313212120415012396e-01,3.709980315009231977e-01,2.640000000000002345e-01,1.700000000000034817e-02
9.709711225875120588e-01,6.350479912106881120e-01,1.760992086255077915e-01,2.015602098088500049e-01,2.209999999999991971e-01,8.999999999999452882e-03,6.476292414676526610e-01,1.568166056038921563e-01,3.562180565529825538e-01,2.199999999999997513e-01,1.399999999999934630e-02
9.692651706703566683e-01,6.853260231083393439e-01,1.812430209492581212e-01,2.017115015791038635e-01,2.549999999999998934e-01,9.000000000000341061e-03,7.056107288560794499e-01,1.473378581913915297e-01,3.663491561032590216e-01,2.540000000000004476e-01,1.600000000000001421e-02
9.624550743574994405e-01,6.428354952479140572e-01,1.653352843865916466e-01,1.996463007708934867e-01,2.280000000000006466e-01,9.000000000000341061e-03,6.547583730505612820e-01,1.472566867308698069e-01,3.762646205010137801e-01,2.250000000000005329e-01,1.500000000000056843e-02
9.617864546650143343e-01,6.102108016901820475e-01,1.585880722011754618e-01,2.272720935625899830e-01,2.419999999999999929e-01,9.000000000000341061e-03,6.157304475932031673e-01,1.503564387409402070e-01,4.027344853683858528e-01,2.389999999999998792e-01,1.499999999999968026e-02
9.796778688594364182e-01,7.176757410893322975e-01,1.602497463763769003e-01,2.179967978820589458e-01,2.610000000000001208e-01,9.999999999999786837e-03,7.359254730564924740e-01,1.356619071707274027e-01,3.635288686046672102e-01,2.590000000000003411e-01,1.600000000000001421e-02
9.716430522428831651e-01,6.879055834832127347e-01,1.559971275230880583e-01,2.045139649018152539e-01,2.629999999999999005e-01,9.999999999999786837e-03,7.042831076689057834e-01,1.329827765787754412e-01,3.656057389206522901e-01,2.610000000000001208e-01,1.699999999999945999e-02
9.650139157745869500e-01,6.679682342872403922e-01,1.622290793804415099e-01,2.017594420092428675e-01,2.410000000000005471e-01,9.000000000000341061e-03,6.812318935369828798e-01,1.379668757494150466e-01,3.717869487543070672e-01,2.380000000000004334e-01,1.600000000000001421e-02
9.689897204074681136e-01,6.197112764439061117e-01,1.767670520884113972e-01,1.934128267442793703e-01,2.099999999999999645e-01,9.000000000000341061e-03,6.262439636769910889e-01,1.642193085792255369e-01,3.469414399317918285e-01,2.090000000000005187e-01,1.500000000000056843e-02
9.661604389062631304e-01,6.984119765156935333e-01,1.315579864140437039e-01,2.180474181093261521e-01,2.429999999999994387e-01,8.999999999999452882e-03,7.154522918493433359e-01,1.053930434019629825e-01,4.060718217408008646e-01,2.399999999999993250e-01,1.499999999999968026e-02
