# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.056144645714337971e-01,4.187249158590869436e-01,2.807910573828970580e-01,7.442923516970839648e-02,2.329999999999996518e-01,2.599999999999980105e-02,4.029902835318586174e-01,3.692665308297751192e-01,3.762591511253270404e-01,2.290000000000000924e-01,1.999999999999957367e-02
9.055048234201231727e-01,4.934321111824697681e-01,2.894754514707429949e-01,6.137163216502670993e-02,2.300000000000004263e-01,2.599999999999980105e-02,4.781458009629024897e-01,3.657600002487412238e-01,3.589070123829533054e-01,2.259999999999999787e-01,2.099999999999990763e-02
9.245686514750279805e-01,4.955672829895784171e-01,2.821986134953870518e-01,7.837776469481251562e-02,2.109999999999994102e-01,2.199999999999935341e-02,4.843479234991519555e-01,3.356508777269029964e-01,3.469594316754627261e-01,2.079999999999992966e-01,1.899999999999923972e-02
9.276203979888306694e-01,5.165219814380502816e-01,2.620988812555243297e-01,6.873491942337953131e-02,2.430000000000003268e-01,2.700000000000013500e-02,5.116169180817392581e-01,3.064744859599163873e-01,3.231596105389703544e-01,2.380000000000004334e-01,2.100000000000079581e-02
9.200036455545883562e-01,5.036725978485202537e-01,2.720502244192499197e-01,6.340485258622981235e-02,2.280000000000006466e-01,2.400000000000002132e-02,4.911986558534304770e-01,3.269374750604596147e-01,3.269300564429842848e-01,2.250000000000005329e-01,2.100000000000079581e-02
9.418121323968906555e-01,5.374988611553511708e-01,2.861150114928675547e-01,7.737230135445508084e-02,2.059999999999995168e-01,2.199999999999935341e-02,5.355261431793140181e-01,3.323825289006268613e-01,3.430852945078449734e-01,2.039999999999997371e-01,1.799999999999979394e-02
9.270926545350245407e-01,5.577524247077756403e-01,1.999191024981862297e-01,6.777845805053579753e-02,2.419999999999999929e-01,2.400000000000002132e-02,5.594709330038339923e-01,2.127344915160254701e-01,2.871344903060277787e-01,2.389999999999998792e-01,2.199999999999935341e-02
9.400774521528737493e-01,5.514083675564651621e-01,2.071752935057029898e-01,7.943552802308669059e-02,2.389999999999998792e-01,2.299999999999968736e-02,5.533433483557127497e-01,2.218637817504505727e-01,2.987458932640707499e-01,2.370000000000000995e-01,1.999999999999957367e-02
9.200946109212004842e-01,4.555050090032892740e-01,3.031397427828595448e-01,6.145725770737241883e-02,2.170000000000005258e-01,2.700000000000013500e-02,4.327506214191270129e-01,4.164384630919940045e-01,3.618541894588733210e-01,2.130000000000000782e-01,2.100000000000079581e-02
9.602739087317305744e-01,6.321117975849219750e-01,1.335052845584571712e-01,8.891484831644380638e-02,2.760000000000006892e-01,2.600000000000068923e-02,6.474833016693062326e-01,1.195089982813847956e-01,2.991722828436187975e-01,2.730000000000005755e-01,2.099999999999990763e-02
9.560156349357225025e-01,6.034834227034290288e-01,1.364111263190897483e-01,8.591026628688511191e-02,2.720000000000002416e-01,2.599999999999980105e-02,6.194791065006185482e-01,1.322017963445440980e-01,3.172097515100663068e-01,2.699999999999995737e-01,2.200000000000024158e-02
9.399504936814193634e-01,5.638321777401050783e-01,1.833801931981184630e-01,8.053421160158942549e-02,2.469999999999998863e-01,2.299999999999968736e-02,5.693025186810197757e-01,1.915481739240099957e-01,2.970396107512696116e-01,2.450000000000001066e-01,2.099999999999990763e-02
9.109059790374777199e-01,5.369532523690770942e-01,1.909428785055245770e-01,7.074033445242292051e-02,2.649999999999996803e-01,2.599999999999980105e-02,5.364316653913128174e-01,2.219513387543877447e-01,3.362097213435458753e-01,2.610000000000001208e-01,2.299999999999968736e-02
9.394856720368136571e-01,5.580996727106858346e-01,1.949144063573613195e-01,8.001613230295129275e-02,2.339999999999999858e-01,2.299999999999968736e-02,5.610518454459866300e-01,2.082238477691784884e-01,3.038646639746825362e-01,2.309999999999998721e-01,2.099999999999990763e-02
9.192285438902574324e-01,5.072001448273167901e-01,2.495736323493262243e-01,7.991419676870399613e-02,2.489999999999996660e-01,2.999999999999936051e-02,5.138410195953673210e-01,2.908895520404420343e-01,3.806698606376445193e-01,2.449999999999992184e-01,1.999999999999957367e-02
9.388741547021915990e-01,5.447610203078402380e-01,2.330003140021474628e-01,7.419665110145311215e-02,2.319999999999993179e-01,2.499999999999946709e-02,5.402344398509399959e-01,2.738362397099434187e-01,3.407487542368989319e-01,2.289999999999992042e-01,1.999999999999957367e-02
9.200636413351301890e-01,5.244100253511814191e-01,2.247022866341395753e-01,6.085949443623262650e-02,2.770000000000001350e-01,2.700000000000013500e-02,5.190151819657854437e-01,2.609395471418413104e-01,3.061244566334681561e-01,2.740000000000000213e-01,2.499999999999946709e-02
9.119358632717058377e-01,5.380592258703137398e-01,2.013201972779100901e-01,7.493639972038802777e-02,2.480000000000002203e-01,2.400000000000002132e-02,5.400926989802081746e-01,2.279309655152673142e-01,3.488618543220154411e-01,2.440000000000006608e-01,2.100000000000079581e-02
9.304900751978325557e-01,5.547500159354823435e-01,1.833520225277798232e-01,7.775529921681868795e-02,2.400000000000002132e-01,2.400000000000002132e-02,5.575481099441431665e-01,1.948166211555707739e-01,3.090592460686941156e-01,2.370000000000000995e-01,2.099999999999990763e-02
9.617348288746422336e-01,6.957176376951333951e-01,1.122714878890305329e-01,9.430355434460027664e-02,2.889999999999997016e-01,3.000000000000024869e-02,7.230970947008087402e-01,8.840048365889847937e-02,3.389144801392866557e-01,2.859999999999995879e-01,2.299999999999968736e-02
9.511046922942915094e-01,5.878809990421557385e-01,1.718908246496111403e-01,8.658949117715379618e-02,2.369999999999992113e-01,2.499999999999946709e-02,6.021076621087629865e-01,1.835274278212542243e-01,3.285892295741519309e-01,2.339999999999999858e-01,1.999999999999957367e-02
9.661083100639741295e-01,7.008176448931096036e-01,1.290650942706697557e-01,9.305006213463448694e-02,2.640000000000002345e-01,2.599999999999980105e-02,7.237029254056686067e-01,1.089194129213229695e-01,3.083197972954683785e-01,2.620000000000004547e-01,2.099999999999990763e-02
9.537197381712341215e-01,6.084103297658324250e-01,1.020195619371412205e-01,8.660211189854846725e-02,2.759999999999998010e-01,2.700000000000013500e-02,6.299553454073238967e-01,9.752178271724494529e-02,3.320580594562209109e-01,2.740000000000000213e-01,2.200000000000024158e-02
9.478224000995953968e-01,5.746078409153937416e-01,1.825178064370178987e-01,8.702025893980296078e-02,2.250000000000005329e-01,2.100000000000079581e-02,5.810589644616179772e-01,1.886516613801209052e-01,3.011640001414284673e-01,2.230000000000007532e-01,1.900000000000012790e-02
9.453751528850160568e-01,5.758381514226362796e-01,1.557217550530518857e-01,8.201161357586940481e-02,2.580000000000000071e-01,2.899999999999991473e-02,5.923297225643848751e-01,1.685227671240876746e-01,3.237356709994311244e-01,2.540000000000004476e-01,2.200000000000024158e-02
9.007632244360000984e-01,4.298652753249948555e-01,2.582137008823688351e-01,6.159039825896853865e-02,2.119999999999997442e-01,2.399999999999913314e-02,4.045810026429771944e-01,3.599672402643619984e-01,3.565447501854458467e-01,2.069999999999998508e-01,1.999999999999957367e-02
9.480333424202991299e-01,5.650041448297968838e-01,2.159634198999350052e-01,8.354024040124874428e-02,2.219999999999995310e-01,2.200000000000024158e-02,5.700591641349154193e-01,2.355286386055051862e-01,3.210158784325975456e-01,2.190000000000003055e-01,1.799999999999979394e-02
9.239155257244533459e-01,5.386956657983541508e-01,2.235311566702474217e-01,6.207144801197950895e-02,2.660000000000000142e-01,2.899999999999991473e-02,5.388650242483866704e-01,2.443722401735029248e-01,2.774239284596516364e-01,2.620000000000004547e-01,2.500000000000035527e-02
