# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.667320862035532203e-01,2.772570798939034131e-01,3.526221437666712810e-01,3.032911918294083076e-02,2.199999999999997513e-01,3.099999999999969447e-02,2.586392361352483626e-01,4.745237397807663959e-01,8.313580642433779366e-02,2.199999999999997513e-01,2.899999999999991473e-02
9.659814478781637570e-01,3.500645063377627042e-01,3.301427076085034495e-01,2.665896432385062020e-02,2.179999999999999716e-01,2.899999999999991473e-02,3.370256943095665814e-01,4.396144655621216368e-01,9.913274012810478764e-02,2.169999999999996376e-01,2.700000000000013500e-02
9.747665265332018381e-01,3.549721697786422658e-01,2.932297504897392049e-01,2.838414082787602336e-02,2.019999999999999574e-01,2.599999999999980105e-02,3.430281564810179207e-01,3.793717395383819913e-01,8.816011559699357680e-02,2.019999999999999574e-01,2.400000000000002132e-02
9.741138716417339083e-01,3.323924212682884405e-01,2.675791895831979850e-01,6.022053525685362035e-02,2.330000000000005400e-01,4.200000000000070344e-02,3.265308851497286113e-01,3.741258028717514561e-01,1.569283240145579461e-01,2.310000000000007603e-01,3.800000000000025580e-02
9.725829601101394495e-01,3.654054473114266566e-01,3.108838370712865840e-01,2.821447360288212650e-02,2.160000000000001918e-01,2.900000000000080291e-02,3.538858242756213190e-01,3.991349551036134091e-01,9.058691329829851591e-02,2.160000000000001918e-01,2.700000000000013500e-02
9.863754171640638502e-01,4.880979145305410216e-01,6.135580188657191458e-02,5.981664123036001951e-02,2.369999999999992113e-01,4.799999999999915445e-02,4.857545397563198808e-01,7.647733247405488766e-02,1.106007872340568216e-01,2.359999999999997655e-01,4.199999999999981526e-02
9.885469618071193176e-01,4.872412902954402769e-01,1.176492252103838593e-01,5.450405301268447522e-02,2.080000000000001847e-01,4.000000000000003553e-02,4.904444124086103640e-01,1.425270818647635940e-01,1.103087792522789157e-01,2.069999999999998508e-01,3.599999999999958789e-02
9.856276037729337913e-01,4.504937684074477589e-01,1.700370211745343418e-01,4.939416747853997425e-02,2.059999999999995168e-01,3.499999999999925393e-02,4.493465113375154085e-01,2.054595342612991205e-01,1.055029787938640135e-01,2.049999999999991829e-01,3.299999999999947420e-02
9.891080812008298251e-01,5.098254246672496715e-01,5.962101757786456707e-02,6.375722590582327820e-02,2.400000000000002132e-01,5.100000000000015632e-02,5.170523596204450456e-01,7.982720959024247609e-02,1.209731877346929274e-01,2.380000000000004334e-01,3.800000000000025580e-02
9.851279781320013695e-01,4.560292813878645823e-01,1.672962729858516462e-01,4.515616744510008579e-02,2.059999999999995168e-01,3.699999999999992184e-02,4.577525991877469669e-01,2.025466519965122003e-01,1.061089052911995123e-01,2.050000000000000711e-01,3.500000000000014211e-02
9.946264613977648938e-01,6.350502330252598693e-01,3.600721488844663837e-02,3.492054296500889110e-02,2.139999999999995239e-01,3.799999999999936762e-02,6.389692424213503363e-01,3.487365644349370991e-02,6.742436434447114657e-02,2.129999999999991900e-01,2.799999999999958078e-02
9.962148192197423091e-01,6.868228564081847454e-01,3.070659892686070092e-01,2.711752795385215936e-02,2.439999999999997726e-01,3.499999999999925393e-02,6.955284655482585343e-01,2.964558868520685841e-01,5.274915019712396458e-02,2.439999999999997726e-01,2.599999999999980105e-02
9.965763817414104997e-01,6.796878999165284485e-01,2.670004917683714840e-01,3.386130483438216238e-02,2.740000000000000213e-01,3.800000000000025580e-02,6.901608319122000124e-01,2.581270812926028668e-01,6.391538599620709415e-02,2.729999999999996874e-01,2.799999999999958078e-02
9.944018014851796483e-01,6.754781072036220024e-01,6.712606753927929937e-02,3.964701350856179168e-02,2.370000000000000995e-01,4.300000000000014921e-02,6.841312829014202235e-01,6.393221629902269554e-02,7.812916223828801632e-02,2.370000000000000995e-01,3.000000000000024869e-02
9.959301579781441038e-01,7.031120980654823605e-01,1.720568886348059490e-01,3.163744352484536976e-02,2.309999999999998721e-01,3.699999999999992184e-02,7.108669884134001249e-01,1.627653959311692600e-01,5.953762584739300673e-02,2.309999999999998721e-01,2.799999999999958078e-02
9.971114890649434015e-01,6.823255509483260317e-01,1.634060691859312020e-01,5.674877173578359024e-02,2.259999999999999787e-01,3.899999999999970157e-02,6.917471970965944905e-01,1.571233149242786120e-01,8.388140926800333186e-02,2.269999999999994245e-01,3.200000000000002842e-02
9.979228008896692259e-01,6.731498393585739759e-01,3.413897055322073215e-01,3.379419230844919048e-02,2.239999999999993108e-01,3.099999999999969447e-02,6.821368446298746724e-01,3.319763350305163785e-01,5.639758681126182810e-02,2.229999999999998650e-01,2.400000000000002132e-02
9.973659321330877736e-01,6.553171790755144555e-01,2.705940149204251743e-01,5.878795153087433556e-02,2.480000000000002203e-01,3.699999999999992184e-02,6.646913230157841523e-01,2.594267404402246791e-01,8.700227011447006498e-02,2.480000000000002203e-01,3.200000000000002842e-02
9.979668939066805855e-01,6.220200330808088873e-01,3.456857430130109710e-01,4.851708842472252786e-02,2.800000000000002487e-01,3.599999999999958789e-02,6.302475130993783203e-01,3.385573287703162459e-01,7.372419291751075576e-02,2.789999999999999147e-01,2.500000000000035527e-02
9.975087507482598426e-01,6.677946578390485666e-01,3.039008001468845865e-01,4.636084429670758733e-02,2.329999999999996518e-01,3.499999999999925393e-02,6.754094371414068876e-01,2.928292496453005489e-01,6.961438679831621901e-02,2.319999999999993179e-01,2.799999999999958078e-02
9.986656099572864820e-01,6.285678784719208601e-01,3.626897981712594032e-01,3.508213876192683295e-02,2.339999999999999858e-01,3.100000000000058265e-02,6.361274291929267521e-01,3.565148678322579978e-01,5.128528651830480123e-02,2.339999999999999858e-01,2.500000000000035527e-02
9.988523388794550151e-01,6.358366153376244778e-01,3.456158888048856959e-01,3.654656601493879581e-02,2.440000000000006608e-01,3.100000000000058265e-02,6.418304815904337657e-01,3.360171699925876276e-01,5.224436417264815419e-02,2.440000000000006608e-01,2.500000000000035527e-02
9.985489612543373417e-01,6.374922225604767734e-01,3.328815060211882115e-01,4.562618309148570167e-02,2.699999999999995737e-01,3.300000000000036238e-02,6.449477705743978939e-01,3.256747390109642204e-01,6.661109226865706556e-02,2.690000000000001279e-01,2.599999999999980105e-02
9.987686818793112264e-01,6.324200299640139189e-01,2.971548057186196301e-01,4.577511028386591768e-02,2.809999999999996945e-01,3.099999999999969447e-02,6.393192976906665326e-01,2.883824210674129085e-01,6.346598070471372310e-02,2.800000000000002487e-01,2.700000000000013500e-02
9.986949993871326869e-01,6.326163292930744309e-01,3.572833008392019005e-01,2.356958042336330592e-02,2.380000000000004334e-01,2.800000000000046896e-02,6.390300376387580972e-01,3.529128825945379022e-01,3.743941144701507656e-02,2.370000000000000995e-01,2.200000000000024158e-02
9.990334171668655561e-01,6.552914815374805135e-01,3.427366799808078124e-01,5.712470726389918402e-02,2.820000000000000284e-01,3.099999999999969447e-02,6.623423802538832561e-01,3.321130619189032185e-01,7.358253592692533263e-02,2.809999999999996945e-01,2.700000000000013500e-02
9.988828043542181678e-01,6.459983149653427681e-01,3.180261439820167846e-01,6.434508725619395020e-02,2.590000000000003411e-01,3.099999999999969447e-02,6.535700315788253167e-01,3.086358748123980145e-01,8.373387506188764706e-02,2.599999999999997868e-01,2.700000000000013500e-02
9.990508417787996587e-01,6.727617766142741651e-01,3.778159600087140357e-01,5.101302672026674506e-02,2.650000000000005684e-01,3.000000000000024869e-02,6.800475247052624184e-01,3.669292873547090883e-01,6.818500630371616966e-02,2.640000000000002345e-01,2.700000000000013500e-02
9.989566206721312014e-01,6.626846934102722519e-01,3.368287384997123435e-01,3.462741769759224153e-02,2.380000000000004334e-01,2.700000000000013500e-02,6.684206299464944268e-01,3.261296546564578236e-01,4.997926829094292978e-02,2.380000000000004334e-01,2.300000000000057554e-02
9.988466936742806945e-01,6.620108879260983015e-01,2.887770168539127713e-01,6.160714171029441771e-02,2.509999999999994458e-01,2.899999999999991473e-02,6.695520651553703573e-01,2.775487556446017967e-01,8.155457637753316114e-02,2.509999999999994458e-01,2.700000000000013500e-02
9.742670541339953916e-01,4.076328113120599173e-01,1.576883048596960935e-01,9.528093890275443623e-02,2.559999999999993392e-01,4.799999999999915445e-02,4.067678258126019020e-01,2.181068177413918174e-01,1.948714293311872570e-01,2.539999999999995595e-01,4.399999999999959499e-02
