# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.667320862035528872e-01,2.772570798939033576e-01,3.526221437666712810e-01,6.954186552651461795e-02,2.199999999999997513e-01,5.699999999999949551e-02,2.586392361352483071e-01,4.745237397807663404e-01,1.404471081958862666e-01,2.199999999999997513e-01,5.299999999999993605e-02
9.659814478781633129e-01,3.500645063377627042e-01,3.301427076085033940e-01,7.334628244240085082e-02,2.179999999999999716e-01,5.900000000000016342e-02,3.370256943095665814e-01,4.396144655621216368e-01,1.570737353753149379e-01,2.169999999999996376e-01,5.100000000000015632e-02
9.747665265332020601e-01,3.549721697786422658e-01,2.932297504897390938e-01,8.056709169654313607e-02,2.019999999999999574e-01,5.399999999999938183e-02,3.430281564810179207e-01,3.793717395383820468e-01,1.489534069118723658e-01,2.019999999999999574e-01,4.699999999999970868e-02
9.741138716417343524e-01,3.323924212682884405e-01,2.675791895831979850e-01,8.007761345919639506e-02,2.330000000000005400e-01,6.000000000000049738e-02,3.265308851497286113e-01,3.741258028717514561e-01,1.642024059958556437e-01,2.310000000000007603e-01,4.700000000000059686e-02
9.725829601101384503e-01,3.654054473114265456e-01,3.108838370712865840e-01,7.808512926948721344e-02,2.160000000000001918e-01,5.900000000000016342e-02,3.538858242756214301e-01,3.991349551036133536e-01,1.526316105329791339e-01,2.160000000000001918e-01,5.200000000000049027e-02
9.796555650616490807e-01,3.768636729798523488e-01,2.989213912083621971e-01,6.809946005951179882e-02,1.969999999999991758e-01,5.299999999999993605e-02,3.689052482567992675e-01,3.935780503723705359e-01,1.302268949538224474e-01,1.979999999999995097e-01,4.199999999999981526e-02
9.767351190921245152e-01,3.941507768768431341e-01,2.204437560689549713e-01,1.056589906281638486e-01,2.290000000000000924e-01,5.999999999999960920e-02,3.913725841320364607e-01,2.824242919631680948e-01,1.873635227648902390e-01,2.259999999999999787e-01,4.999999999999982236e-02
9.813638576831757998e-01,3.926357851578296532e-01,1.726906985718408560e-01,7.500101900657978049e-02,2.279999999999997584e-01,5.400000000000027001e-02,3.881735037863172089e-01,2.280886102448395625e-01,1.392089039998092304e-01,2.279999999999997584e-01,4.499999999999992895e-02
9.678130652396158551e-01,3.220741634270573583e-01,3.934340676364675993e-01,7.462305075658301479e-02,2.040000000000006253e-01,6.100000000000083134e-02,3.024676385617129371e-01,5.106474973538236428e-01,1.560810363214923668e-01,2.040000000000006253e-01,5.400000000000027001e-02
9.865747122052679341e-01,4.765009980559075098e-01,4.478329914592913547e-02,7.028393233488783309e-02,2.640000000000002345e-01,5.700000000000038369e-02,4.764868715149340184e-01,6.184673696968755879e-02,1.257821243672402611e-01,2.620000000000004547e-01,4.700000000000059686e-02
9.848029557721941218e-01,4.535050592694634397e-01,9.196619669461149338e-02,6.814132849013665449e-02,2.599999999999997868e-01,5.999999999999960920e-02,4.544409786736429147e-01,1.234183888284652170e-01,1.246757686301423473e-01,2.580000000000000071e-01,4.800000000000004263e-02
