# Correlation, SWER, SDRatio, Refl, SDDelay, SRDelay, nSWER, nSDRatio, nRefl, nSDDelay, nSRDelay
9.667320862035528872e-01,2.776180928736806663e-01,3.479663438642986995e-01,7.022828808603440165e-02,2.199999999999997513e-01,6.099999999999994316e-02,2.650380188110417201e-01,4.096453960683827389e-01,1.357586746465895833e-01,2.210000000000000853e-01,5.900000000000016342e-02
9.659814478781633129e-01,3.497526079932242737e-01,3.372599652265885761e-01,7.325127925032326459e-02,2.179999999999999716e-01,5.900000000000016342e-02,3.402272672142263588e-01,3.914659343309290218e-01,1.476974404894049742e-01,2.169999999999996376e-01,5.700000000000038369e-02
9.747665265332020601e-01,3.545726425043379537e-01,2.997043230752822751e-01,8.049230190662569340e-02,2.019999999999999574e-01,5.399999999999938183e-02,3.454710766422675050e-01,3.412780361827201792e-01,1.433290397984915976e-01,2.019999999999999574e-01,5.099999999999926814e-02
9.741138716417343524e-01,3.337954246522004120e-01,2.858685963554284948e-01,8.028757242260176064e-02,2.330000000000005400e-01,5.600000000000004974e-02,3.268600053960336593e-01,3.283109245662366171e-01,1.503032549982068200e-01,2.320000000000002061e-01,5.299999999999993605e-02
9.725829601101384503e-01,3.649891530885998603e-01,3.170443399384945127e-01,7.795802732845244498e-02,2.170000000000005258e-01,5.900000000000016342e-02,3.571365659598387809e-01,3.601516705415483410e-01,1.447023557965181062e-01,2.160000000000001918e-01,5.600000000000004974e-02
9.796555650616490807e-01,3.775021188867541677e-01,3.138036160078849224e-01,6.778918222992839915e-02,1.969999999999991758e-01,5.099999999999926814e-02,3.705563103293649241e-01,3.532847864248901959e-01,1.214453956020134784e-01,1.979999999999995097e-01,4.899999999999948841e-02
9.767351190921245152e-01,3.942061719309288836e-01,2.287278930889019568e-01,1.057899631302111898e-01,2.279999999999997584e-01,5.699999999999949551e-02,3.928043018549337018e-01,2.563677941306349850e-01,1.783107164824654089e-01,2.259999999999999787e-01,5.399999999999938183e-02
9.813638576831757998e-01,3.929454350774641558e-01,1.813795653929137774e-01,7.520044238003267822e-02,2.279999999999997584e-01,5.400000000000027001e-02,3.890177112128074266e-01,2.028000014657999062e-01,1.297463813061025539e-01,2.270000000000003126e-01,4.900000000000037659e-02
9.678130652396158551e-01,3.212660659195799573e-01,3.939113137694943423e-01,7.516271646249891858e-02,2.050000000000000711e-01,6.200000000000027711e-02,3.091027932606242867e-01,4.566451173717260836e-01,1.523658958520573703e-01,2.050000000000000711e-01,6.200000000000027711e-02
9.865747122052679341e-01,4.768170543986667287e-01,4.784465616784756847e-02,7.074402950623322195e-02,2.640000000000002345e-01,5.500000000000060396e-02,4.752372591269925506e-01,5.225670768328852939e-02,1.155264878581486188e-01,2.629999999999999005e-01,5.299999999999993605e-02
9.848029557721941218e-01,4.543507247319092945e-01,9.753064188662657896e-02,6.848086706481124053e-02,2.599999999999997868e-01,5.900000000000016342e-02,4.530719415198110056e-01,1.081035744451441794e-01,1.150707246331157674e-01,2.589999999999994529e-01,5.400000000000027001e-02
9.812576850118350791e-01,4.003720440045820950e-01,1.730610751253736368e-01,1.041684911438866684e-01,2.359999999999997655e-01,5.499999999999971578e-02,3.975671457267254683e-01,1.948355284772639306e-01,1.662134097751860606e-01,2.349999999999994316e-01,5.499999999999971578e-02
9.706341547053837226e-01,3.981749744878240738e-01,1.943724414707329040e-01,8.854375167463214569e-02,2.519999999999997797e-01,6.400000000000005684e-02,3.929200972469768516e-01,2.275902586591825039e-01,1.557278673066194719e-01,2.509999999999994458e-01,6.099999999999994316e-02
9.808026405735625897e-01,3.998259580313870409e-01,2.139612805126123729e-01,8.369045569508175297e-02,2.229999999999998650e-01,5.600000000000004974e-02,3.975435948333119751e-01,2.359207126134587607e-01,1.393332053608955790e-01,2.219999999999995310e-01,5.199999999999960210e-02
9.722022802772161132e-01,3.448615824224570692e-01,1.854406128546227939e-01,8.102922913121023141e-02,2.369999999999992113e-01,5.199999999999960210e-02,3.379791012164229391e-01,2.176815562568041873e-01,1.572890126182464599e-01,2.349999999999994316e-01,5.099999999999926814e-02
9.781238807112367928e-01,3.624262073954780949e-01,2.870506767804774095e-01,7.496704266330676825e-02,2.229999999999998650e-01,5.799999999999982947e-02,3.562421638560945847e-01,3.230392559091017080e-01,1.351874541863541945e-01,2.229999999999998650e-01,5.499999999999971578e-02
9.731613619267858173e-01,3.804940130061730263e-01,2.716541932666702297e-01,9.462479169684107072e-02,2.639999999999993463e-01,6.899999999999995026e-02,3.755199211383641322e-01,3.077937551252558079e-01,1.653066296219247722e-01,2.629999999999999005e-01,6.599999999999983658e-02
9.717778754982072664e-01,3.984837263671240914e-01,1.700321171939709608e-01,7.082608431851700193e-02,2.360000000000006537e-01,5.700000000000038369e-02,3.928624111944892250e-01,1.982778576967145212e-01,1.335796385173450562e-01,2.350000000000003197e-01,5.300000000000082423e-02
9.772610837158697272e-01,3.928220829316895757e-01,1.694060528727541759e-01,9.913015571683880811e-02,2.270000000000003126e-01,5.400000000000027001e-02,3.898718154218369092e-01,1.938432394324156871e-01,1.684226380567828696e-01,2.270000000000003126e-01,5.400000000000027001e-02
9.851485238686507051e-01,5.189960395387100967e-01,2.581297312069346095e-01,1.072558041660730543e-01,3.269999999999999574e-01,5.600000000000004974e-02,5.233994880586413379e-01,2.543958140741600649e-01,1.762668938183622747e-01,3.269999999999999574e-01,5.299999999999993605e-02
9.825944559352978169e-01,4.199958869415731932e-01,1.614735977974560421e-01,8.960098734188082226e-02,2.269999999999994245e-01,5.199999999999960210e-02,4.193526828674964402e-01,1.798732043356265631e-01,1.511331978671333620e-01,2.269999999999994245e-01,4.999999999999982236e-02
9.881374652236581957e-01,5.542552458061071885e-01,2.095313605741497553e-01,8.050459602665992198e-02,2.990000000000003766e-01,4.999999999999982236e-02,5.577706119537502172e-01,2.055209800152610622e-01,1.355342186273734151e-01,2.990000000000003766e-01,4.499999999999992895e-02
9.826898587287485887e-01,4.306403082643713298e-01,7.230512166566466226e-02,9.274561702551348263e-02,2.629999999999999005e-01,5.700000000000038369e-02,4.305757634308916559e-01,8.333495723169227765e-02,1.538020052875768984e-01,2.610000000000001208e-01,5.600000000000004974e-02
9.835299309486311703e-01,4.149506516647464838e-01,1.812954072152978546e-01,8.707338046986135005e-02,2.140000000000004121e-01,5.200000000000049027e-02,4.122671176718314401e-01,2.003533726698374928e-01,1.406334408740557707e-01,2.150000000000007461e-01,5.000000000000071054e-02
9.787950203788915449e-01,3.872723473555492735e-01,1.486617508132798970e-01,1.165391097912606283e-01,2.460000000000004405e-01,5.499999999999971578e-02,3.864522341608651046e-01,1.714893136652342331e-01,1.981962288656051452e-01,2.450000000000001066e-01,5.299999999999993605e-02
9.641770188209518588e-01,3.189608085014717931e-01,3.364921365625482830e-01,9.508716876093019355e-02,1.979999999999995097e-01,6.199999999999938893e-02,3.080297459622648448e-01,3.930139385429292642e-01,1.818174804690530777e-01,1.979999999999995097e-01,5.799999999999982947e-02
9.833448678645658747e-01,4.057676062300151210e-01,2.399420007539504740e-01,7.328432842806043013e-02,2.110000000000002984e-01,5.199999999999960210e-02,4.022834399113561776e-01,2.630095221453389032e-01,1.228674088852812346e-01,2.110000000000002984e-01,4.800000000000004263e-02
9.724934045705366792e-01,3.463687756231744741e-01,2.777320694669945800e-01,1.342258050481752174e-01,2.519999999999997797e-01,6.099999999999994316e-02,3.441898176065981141e-01,3.167740947441688992e-01,2.302142691635957750e-01,2.530000000000001137e-01,6.000000000000049738e-02
9.745011314029573546e-01,3.426140867746672036e-01,3.418792751266576668e-01,6.393127971997288050e-02,2.009999999999996234e-01,5.299999999999993605e-02,3.328435244156726092e-01,3.923098767776289075e-01,1.208371004221953648e-01,2.009999999999996234e-01,4.899999999999948841e-02
